WALKING 06
Date:,2019/07/18
Time:,15:31:02
Type:,
Description:,""
Notes:,""

EVENTS
Subject,Context,Name,Time (s),Description
Patient 1,Right,Foot Strike,1.860000,The instant the heel strikes the ground
Patient 1,Right,Foot Off,2.650000,The instant the toe leaves the ground

TRAJECTORIES
100.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,RTHI,,,RKNE,,,RTIB,,,RANK,,,RHEE,,,RTOE,,,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,LPelvisAngles,,,RPelvisAngles,,,RFootProgressAngles,,,RGroundReactionForce,,,RNormalisedGRF,,,RAnkleForce,,,RKneeForce,,,RHipForce,,,RGroundReactionMoment,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RAnklePower,,,RKneePower,,,RHipPower,,,PELO,,,PELP,,,PELL,,,PELA,,,RFEO,,,RFEP,,,RFEL,,,RFEA,,,RFOO,,,RFOP,,,RFOL,,,RFOA,,,RTIO,,,RTIP,,,RTIL,,,RTIA,,,RTOO,,,RTOP,,,RTOL,,,RTOA
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
130,204.770493,118.227722,909.287781,502.777618,77.679916,909.509033,284.433533,-122.341187,911.155701,381.890533,-126.961159,922.554626,524.744202,-78.324867,600.954712,504.559448,-118.798851,465.614807,502.738861,-226.426651,331.178223,458.497437,-350.613251,139.045700,400.920135,-408.284088,126.729797,466.089386,-241.122864,25.833128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.265236,-2.990222,-16.390144,16.231489,-2.100388,-2.446620,5.852934,-2.172901,7.712989,5.799799,0.000000,0.000000,1.898592,0.215765,7.745393,1.898592,-0.215765,-7.745393,-58.626404,3.923027,-17.840275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.036682,47.915390,813.764282,347.833374,54.924465,1025.206543,137.408340,76.438049,813.608643,375.548645,257.426575,806.711792,454.189331,-98.201782,457.639709,451.932251,34.267487,814.020325,105.983856,44.184433,402.508392,606.859619,228.506653,337.166718,478.937714,-232.651047,52.417179,418.518616,-392.933167,150.152466,291.647583,-174.162186,32.555546,491.781494,-133.748535,222.553436,424.682007,-336.216431,131.596146,452.789551,-109.492294,442.173462,77.010406,-188.195297,55.004028,588.957886,-61.738647,-83.642120,499.077393,-179.223694,19.838760,478.937714,-232.651047,52.417179,436.647369,-159.727417,13.218230,503.358643,-146.256195,76.550819
131,201.087036,127.465103,911.114502,498.848541,88.963127,911.684448,282.574188,-112.743729,913.452820,380.151337,-117.032700,924.582520,526.082886,-62.086281,600.387878,507.375916,-101.105072,465.180756,504.230347,-212.665939,334.537598,457.313873,-340.609131,147.467407,398.222015,-396.054535,138.842987,466.035858,-243.354950,26.616100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.328024,-3.493014,-14.598875,18.911940,-1.125207,-3.534454,2.036986,-1.518027,5.462265,2.027732,0.000000,0.000000,1.943889,0.141699,7.367178,1.943889,-0.141699,-7.367178,-52.927715,5.606858,-19.001160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.665466,58.058777,815.796936,344.188660,65.235016,1027.234497,133.852615,85.188606,815.395325,370.793213,267.749268,808.612854,456.244537,-82.378151,457.443054,448.649048,45.107880,816.175598,102.239990,47.276314,403.871185,596.324951,252.190918,341.510162,479.756226,-232.447845,51.500862,415.546143,-381.225586,163.907440,294.181030,-169.846100,28.352301,497.974396,-119.137665,211.881348,423.270325,-326.638977,140.248428,454.668457,-94.053070,442.282166,76.025055,-184.142456,66.614845,580.564087,-58.487976,-82.597153,501.159607,-182.855286,14.031991,479.756256,-232.447861,51.500847,439.301208,-161.988037,6.315803,507.232330,-145.085236,67.492142
132,197.569489,136.592484,912.893555,495.116760,99.999763,913.823181,280.755127,-103.264221,915.702026,378.440063,-107.238670,926.578064,527.275574,-45.856991,600.018311,509.931793,-83.279274,464.908356,505.551270,-198.222900,337.603394,456.047852,-329.564209,155.143738,395.606689,-383.111359,149.751419,465.736206,-242.924026,27.731586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.348854,-3.958785,-12.911222,21.440708,-0.041162,-4.367364,-1.173000,-0.905040,3.339289,-1.171008,0.000000,0.000000,1.988744,0.065628,7.013033,1.988744,-0.065628,-7.013033,-47.928043,6.961895,-19.843195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.459839,68.029091,817.787781,340.702179,75.370911,1029.220215,130.482788,93.852325,817.131775,366.290283,277.878784,810.471313,458.154968,-66.330933,457.364319,445.521393,55.732162,818.293335,99.275574,51.142761,405.073883,586.118835,275.179382,346.347595,479.827881,-230.635651,51.903137,412.884491,-368.335632,176.202271,295.692078,-165.292511,25.121557,502.312561,-105.487862,202.652771,421.772430,-316.011932,148.231827,456.404510,-78.344711,442.489868,74.600128,-178.742722,78.221504,571.921997,-53.439362,-81.515091,502.142242,-184.735672,10.470087,479.827789,-230.635681,51.903130,440.763641,-162.954620,1.542910,509.637146,-143.019760,60.719978
133,194.217789,145.609924,914.624939,491.582123,110.790070,915.925293,278.976379,-93.902603,917.903259,376.756775,-97.578964,928.541321,528.322449,-29.637449,599.846008,512.227112,-65.322182,464.797699,506.701111,-183.099701,340.376740,454.700043,-317.479279,162.073822,393.074493,-369.454285,159.454422,465.190247,-239.833115,29.175028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.324860,-4.386112,-11.320509,23.815928,1.121118,-4.959936,-3.745594,-0.340468,1.375357,-3.744513,0.000000,0.000000,2.033279,-0.012356,6.683233,2.033279,0.012356,-6.683233,-43.720291,7.981868,-20.414194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.419281,77.826019,819.736755,337.373627,85.332176,1031.163452,127.296951,102.430298,818.817871,362.040649,287.816223,812.286926,459.906921,-50.057671,457.409119,442.549622,66.139153,820.373535,96.990265,55.823975,406.157898,576.252686,297.553436,351.691132,479.278595,-226.742661,53.431587,410.489838,-354.483856,187.010406,296.241943,-159.868958,23.124826,504.943665,-92.194901,195.316071,420.191376,-304.336121,155.542831,457.984741,-62.365021,442.798401,72.818085,-172.034027,89.800392,563.011475,-46.576050,-80.373001,502.208099,-184.162277,8.905332,479.278503,-226.742676,53.431587,441.195892,-161.871033,-1.196910,510.763153,-139.313049,56.200161
134,191.031677,154.517654,916.308838,488.244171,121.334709,917.990540,277.237946,-84.658623,920.056458,375.101532,-88.053314,930.472107,529.223694,-13.428949,599.871338,514.261963,-47.235855,464.849274,507.678558,-167.302383,342.860596,453.272308,-304.356598,168.255295,390.626465,-355.082703,167.950317,464.397797,-234.091431,30.933931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.253675,-4.773664,-9.819705,26.037449,2.334850,-5.331296,-5.695402,0.175054,-0.421013,-5.695247,0.000000,0.000000,2.077600,-0.092073,6.377978,2.077600,0.092073,-6.377978,-40.332226,8.690014,-20.771158,,,,,,,-0.320452,0.109729,0.023588,-0.012504,0.202498,0.748981,0.047668,0.022325,1.641844,,,,-64.308311,-0.000000,-19.750124,127.102913,-75.314751,-19.894896,-244.067612,-152.140594,14.760801,0.000000,0.000000,-0.243197,0.000000,0.000000,-0.367752,0.000000,0.000000,0.393282,334.542816,87.449432,821.644226,334.202850,95.119102,1033.064819,124.292526,110.923241,820.454590,358.044281,297.563171,814.059753,461.487457,-33.559349,457.583221,439.733673,76.328194,822.416016,95.286438,61.341492,407.163727,566.725586,319.385437,357.551361,478.243469,-220.491241,55.804192,408.304535,-339.835175,196.369354,295.965210,-153.031006,22.386414,506.103455,-78.719818,190.034119,418.531708,-291.613892,162.175537,459.397217,-46.115677,443.209381,70.762360,-164.053192,101.313988,553.830872,-37.885147,-79.144241,501.556335,-180.709991,8.949146,478.243378,-220.491287,55.804184,440.796936,-158.223251,-2.190107,510.842987,-133.452866,53.692451
135,188.010590,163.316101,917.945435,485.101929,131.635162,920.018921,275.539948,-75.531784,922.161194,373.474518,-78.661125,932.369934,529.979614,2.765806,600.094849,516.036499,-29.024618,465.063873,508.481323,-150.842941,345.060486,451.768372,-290.200775,173.683716,388.264435,-339.995148,175.236115,463.359528,-225.718994,32.983959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.133741,-5.120024,-8.401677,28.105440,3.576944,-5.505937,-7.063895,0.643716,-2.053447,-7.059336,0.000000,0.000000,2.121706,-0.173408,6.097318,2.121706,0.173408,-6.097318,-37.747311,9.127352,-20.967274,,,,,,,-0.309538,0.102260,0.034454,-0.000332,0.198485,0.728826,0.085279,0.008415,1.614866,,,,-62.009640,-0.000000,-18.411034,133.240204,-69.504013,-19.233822,-262.892761,-136.126617,17.302269,0.000000,0.000000,-0.170866,0.000000,0.000000,-0.360872,0.000000,0.000000,0.455316,331.829437,96.899994,823.510254,331.189178,104.732376,1034.924194,121.467255,119.332306,822.042114,354.300629,307.121460,815.790100,462.884674,-16.840973,457.892426,437.073029,86.299988,824.420654,94.070587,67.699791,408.130066,557.527100,340.737091,363.934967,476.842682,-211.762207,58.729389,406.273071,-324.497986,204.343826,295.019775,-144.371185,22.786579,506.055084,-64.649704,186.782288,416.800812,-277.849487,168.119568,460.631500,-29.602066,443.724915,68.518250,-154.828857,112.699402,544.410950,-27.359238,-77.800171,500.365845,-174.183609,10.191260,476.842621,-211.762207,58.729366,439.758240,-151.719955,-1.789700,510.103271,-125.146141,52.875568
136,185.153534,172.006012,919.535095,482.153656,141.694016,922.009888,273.882507,-66.521194,924.217041,371.876007,-69.401352,934.234253,530.591125,18.942158,600.517151,517.550964,-10.695934,465.442474,509.105988,-133.740952,346.984711,450.194336,-275.019562,178.352203,385.991394,-324.188812,181.307892,462.078552,-214.751862,35.286438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.964307,-5.423945,-7.059227,30.019234,4.827844,-5.514057,-7.904901,1.068165,-3.528962,-7.889816,0.000000,0.000000,2.165637,-0.256108,5.841124,2.165637,0.256108,-5.841124,-35.924252,9.343067,-21.046072,,,,,,,-0.296503,0.094245,0.042738,0.006489,0.192240,0.705387,0.112525,-0.007145,1.587373,,,,-58.936554,0.000000,-16.944138,136.201065,-63.114494,-18.364622,-273.460938,-119.471710,19.358486,0.000000,0.000000,-0.107064,0.000000,0.000000,-0.342338,0.000000,0.000000,0.503615,329.277435,106.179001,825.334229,328.331726,114.173431,1036.740967,118.817978,127.658531,823.580505,350.807678,316.493896,817.477417,464.087860,0.087600,458.342407,434.566528,96.055801,826.387268,93.253265,74.885292,409.093719,548.637390,361.658905,370.843994,475.173157,-200.545135,61.949810,404.350281,-308.534363,210.998184,293.557556,-133.616669,24.143402,505.054016,-49.707886,185.433548,415.008545,-263.049744,173.359650,461.677826,-12.834457,444.347595,66.171173,-144.379333,123.862389,534.819336,-14.997711,-76.311584,498.780792,-164.548676,12.267004,475.173187,-200.545105,61.949783,438.242249,-142.239197,-0.335119,508.741058,-114.269608,53.428253
137,182.458908,180.588562,921.078247,479.396667,151.515289,923.963013,272.265869,-57.625454,926.223022,370.306549,-60.272381,936.063782,531.059387,35.093018,601.138794,518.806091,7.738809,465.986084,509.548462,-116.024445,348.644073,448.559143,-258.824432,182.251663,383.811340,-307.659088,186.161606,460.562408,-201.246872,37.787945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.745784,-5.684234,-5.785685,31.776690,6.070956,-5.390674,-8.275597,1.450082,-4.852526,-8.245726,0.000000,0.000000,2.209245,-0.339959,5.609050,2.209245,0.339959,-5.609050,-34.810799,9.387998,-21.040268,,,,,,,-0.281897,0.085966,0.048271,0.007726,0.184393,0.679583,0.129154,-0.022581,1.560480,,,,-55.449326,0.000000,-15.424303,136.447464,-56.485245,-17.317556,-276.352844,-103.051277,20.914925,0.000000,0.000000,-0.053803,0.000000,0.000000,-0.314931,0.000000,0.000000,0.536775,326.884521,115.289001,827.116638,325.629211,123.444275,1038.515625,116.341248,135.903320,825.071167,347.562012,325.684204,819.122864,465.088440,17.211622,458.938416,432.212891,105.598808,828.314941,92.751770,82.871086,410.087921,540.033325,382.189240,378.274139,473.309052,-186.897385,65.258980,402.504822,-291.973969,216.383636,291.709839,-120.606552,26.268791,503.333557,-33.739212,185.816406,413.167969,-247.224319,177.875549,462.528259,4.172516,445.079529,63.803192,-132.713043,134.676224,525.161621,-0.806885,-74.652908,496.910461,-151.871811,14.884113,473.309052,-186.897354,65.258987,436.377380,-129.774887,1.887371,506.918610,-100.819084,55.069931
138,179.924316,189.065399,922.575195,476.826965,161.104767,925.877319,270.690369,-48.842583,928.177979,368.766815,-51.271885,937.857056,531.386353,51.208534,601.959839,519.802795,26.263721,466.695435,509.804626,-97.730072,350.050720,446.874451,-241.630951,185.371628,381.729126,-290.399078,189.794479,458.825348,-185.285446,40.422020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.479710,-5.899874,-4.574732,33.373791,7.292346,-5.173872,-8.232025,1.789931,-6.025813,-8.186229,0.000000,0.000000,2.252423,-0.424672,5.400472,2.252423,0.424672,-5.400472,-34.351723,9.310023,-20.973207,,,,,,,-0.266711,0.077602,0.051900,0.005275,0.175122,0.652637,0.138820,-0.037974,1.534699,,,,-51.810547,0.000000,-13.872510,134.877045,-49.792995,-16.096365,-273.673309,-86.963287,21.970091,0.000000,0.000000,-0.011116,0.000000,0.000000,-0.282547,0.000000,0.000000,0.557182,324.647522,124.233604,828.856506,323.079498,132.548111,1040.247192,114.032455,144.068192,826.514099,344.558289,334.697540,820.726135,465.878387,34.510777,459.685120,430.009186,114.933640,830.202942,92.487854,91.616287,411.142761,531.687195,402.354492,386.213501,471.306030,-170.916382,68.503326,400.717285,-274.825439,220.533340,289.584442,-105.269890,28.996433,501.096710,-16.687866,187.747070,411.294861,-230.386520,181.643585,463.176666,21.398727,445.922363,61.486755,-119.834869,144.990631,515.570374,15.201218,-72.805008,494.835541,-136.279984,17.826675,471.305969,-170.916336,68.503342,434.261688,-114.397827,4.657729,504.765778,-84.870483,57.574589
139,177.546494,197.438690,924.026306,474.439301,170.470215,927.751587,269.156464,-40.169918,930.080139,367.257813,-42.396770,939.611694,531.574463,67.275887,602.979553,520.542664,44.858055,467.570221,509.871002,-78.902496,351.217285,445.154602,-223.458755,187.701416,379.750061,-272.399475,192.206909,456.890381,-166.975998,43.112831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.168999,-6.070068,-3.421013,34.804756,8.480096,-4.903063,-7.827984,2.087018,-7.047199,-7.768480,0.000000,0.000000,2.294879,-0.509931,5.214466,2.294879,0.509931,-5.214466,-34.492012,9.151656,-20.861174,,,,,,,-0.250927,0.069087,0.053519,-0.001380,0.164510,0.624870,0.140903,-0.052879,1.510721,,,,-48.079956,0.000000,-12.256147,131.469299,-43.129002,-14.663929,-265.379364,-71.411118,22.511507,0.000000,0.000000,0.021809,0.000000,0.000000,-0.246003,0.000000,0.000000,0.562836,322.562347,133.017990,830.553589,320.679474,141.489029,1041.935425,111.886322,152.154877,827.910095,341.788971,343.540253,822.288269,466.452240,51.959534,460.585663,427.952332,124.067184,832.049927,92.390015,101.069695,412.283356,523.572083,422.170502,394.641418,469.207062,-152.724564,71.576317,398.978546,-257.083496,223.464905,287.267944,-87.608688,32.192902,498.517242,1.425064,191.040863,409.406219,-212.553925,184.638626,463.618286,38.818726,446.876892,59.279114,-105.749397,154.640625,506.195343,33.007965,-70.757690,492.616577,-117.938255,20.946791,469.207062,-152.724564,71.576309,431.970215,-96.232964,7.818985,502.386627,-66.555054,60.768303
