WALKING 07
Date:,2019/07/18
Time:,15:31:14
Type:,
Description:,""
Notes:,""

EVENTS
Subject,Context,Name,Time (s),Description
Patient 1,Right,Foot Strike,1.850000,The instant the heel strikes the ground
Patient 1,Right,Foot Off,2.660000,The instant the toe leaves the ground

TRAJECTORIES
100.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,RTHI,,,RKNE,,,RTIB,,,RANK,,,RHEE,,,RTOE,,,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,LPelvisAngles,,,RPelvisAngles,,,RFootProgressAngles,,,RGroundReactionForce,,,RNormalisedGRF,,,RAnkleForce,,,RKneeForce,,,RHipForce,,,RGroundReactionMoment,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RAnklePower,,,RKneePower,,,RHipPower,,,PELO,,,PELP,,,PELL,,,PELA,,,RFEO,,,RFEP,,,RFEL,,,RFEA,,,RFOO,,,RFOP,,,RFOL,,,RFOA,,,RTIO,,,RTIP,,,RTIL,,,RTIA,,,RTOO,,,RTOP,,,RTOL,,,RTOA
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
120,210.955505,35.830086,900.612183,508.019989,-19.716669,909.074585,278.239868,-209.169220,910.277161,375.087128,-219.125717,921.096985,512.139160,-165.178284,597.741394,482.063263,-202.916183,459.748840,483.835449,-288.124481,312.376770,439.968658,-388.450897,109.574699,388.533173,-451.359253,84.653069,445.795135,-257.665314,30.604322,,,,,,,,,,,,,,,,,,,,,,-16.289991,1.959683,-11.502307,9.562139,-3.877273,1.359978,13.904115,-0.875220,3.235721,13.881503,0.000000,0.000000,2.952918,-1.077968,10.656815,2.952918,1.077968,-10.656815,-74.430359,-0.131345,-16.766144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.576965,-43.358261,809.954651,348.596863,-32.461632,1021.196350,144.702667,-4.488728,804.032959,391.693024,164.314682,799.979126,431.204407,-182.246094,456.415161,456.621765,-62.181114,813.085205,82.410309,-40.488907,433.551880,572.526001,146.028839,335.837738,457.271606,-254.538330,58.329559,400.574646,-435.823792,108.841812,269.080933,-200.042953,42.677589,456.840179,-201.658401,247.628220,404.736206,-376.272919,105.498734,429.939789,-191.516434,439.648987,45.216736,-252.005463,63.906536,533.332825,-65.066864,-76.271103,476.170471,-194.109863,41.492119,457.271484,-254.538361,58.329567,413.440247,-175.944733,36.274818,476.026703,-176.483200,104.591690
121,208.485703,47.141434,902.839783,505.333984,-7.329134,909.976257,276.472260,-197.692139,911.150391,373.445221,-207.174423,921.967285,512.214966,-154.656967,598.946411,483.550385,-193.358231,461.453644,484.811157,-282.266724,315.792175,441.165619,-386.424225,114.322533,388.795898,-448.936218,91.112892,446.566162,-257.190430,30.344257,,,,,,,,,,,,,,,,,,,,,,-16.794083,1.080158,-11.773382,10.389015,-3.518405,0.592935,13.064369,-1.160038,4.223946,13.028258,0.000000,0.000000,2.739380,-0.873321,10.448761,2.739380,0.873321,-10.448761,-72.441368,0.288184,-16.547825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.819916,-31.184895,811.357483,346.595337,-21.075033,1022.651123,141.792328,6.987392,806.356323,388.183136,176.657074,801.998230,432.651947,-172.910522,457.424866,453.939880,-49.659431,814.029663,82.929657,-32.414902,429.743317,574.257446,155.542114,335.450531,458.057343,-253.706299,58.245041,402.077942,-433.334045,115.083618,269.653931,-200.037506,42.299759,459.004913,-194.681061,245.716568,406.107239,-373.917450,109.768250,431.385529,-182.499878,440.839417,47.801910,-246.095154,63.222088,539.771362,-67.472382,-77.616745,476.717072,-193.830307,39.298836,458.057251,-253.706238,58.245010,413.915924,-175.940704,33.983727,477.032898,-174.155243,101.789352
122,205.968140,58.249271,905.008240,502.597961,4.906539,910.954468,274.735199,-186.391891,912.074707,371.828979,-195.428543,922.881348,512.397278,-143.566452,600.018738,485.163727,-182.915985,462.978180,485.895782,-275.434662,319.167236,442.294006,-383.378876,119.278244,388.980652,-445.324463,98.009842,447.147980,-256.715576,29.940203,,,,,,,,,,,,,,,,,,,,,,-17.149899,0.246155,-11.910174,11.375737,-3.153527,-0.162736,11.916265,-1.393972,5.033688,11.869637,0.000000,0.000000,2.540287,-0.690718,10.233268,2.540287,0.690718,-10.233268,-70.125755,0.854196,-16.376760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.057800,-19.213316,812.780640,344.507416,-9.837306,1024.117310,138.878342,18.223475,808.607483,384.640015,188.796768,804.005737,434.184692,-162.800430,458.341217,451.251892,-37.320313,815.040527,83.345642,-24.364609,426.428894,575.222229,166.382126,335.792633,458.822266,-252.457077,57.773140,403.405579,-429.798096,121.879562,270.271057,-199.350632,41.691559,461.633514,-186.424149,242.873718,407.383606,-370.625122,114.293716,432.907379,-172.705902,441.943176,50.237610,-240.149002,63.300125,545.125732,-68.993561,-78.639267,477.294464,-193.343399,36.404343,458.822235,-252.457047,57.773163,414.444061,-175.641251,31.043806,478.231537,-171.332413,98.104523
123,203.403503,69.153465,907.116760,499.812897,16.989666,912.008850,273.028839,-175.268631,913.050171,370.238495,-183.888184,923.839172,512.685364,-131.907639,600.958374,486.901733,-171.590546,464.322571,487.088440,-267.626831,322.500397,443.352722,-379.312927,124.440750,389.089600,-440.523682,105.341576,447.536316,-256.233887,29.399055,,,,,,,,,,,,,,,,,,,,,,-17.356737,-0.544585,-11.915619,12.522648,-2.776475,-0.897872,10.445668,-1.577137,5.666257,10.394060,0.000000,0.000000,2.355755,-0.530362,10.010045,2.355755,0.530362,-10.010045,-67.468422,1.574429,-16.241756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.291779,-7.444201,814.222595,342.333527,1.251409,1025.594727,135.961258,29.218966,810.784241,381.063721,200.733154,805.999084,435.804077,-151.908829,459.160248,448.559723,-25.164558,816.116577,83.689789,-16.282104,423.585968,575.437256,178.524063,336.843903,459.534637,-250.875534,56.929920,404.562408,-425.173828,129.239212,270.903625,-198.049240,40.860916,464.719330,-176.983963,238.983841,408.560913,-366.389709,119.077522,434.506134,-162.127487,442.957306,52.487213,-234.128601,64.188225,549.389465,-69.609863,-79.374931,477.858795,-192.776108,32.826820,459.534729,-250.875534,56.929920,414.981812,-175.167358,27.470491,479.587036,-168.145584,93.511452
124,200.793640,79.853683,909.163757,496.981659,28.918430,913.138062,271.353394,-164.322723,914.076660,368.674011,-172.553680,924.840332,513.077209,-119.683197,601.766174,488.759949,-159.385452,465.487396,488.386871,-258.839783,325.787537,444.338379,-374.221924,129.806946,389.128174,-434.534546,113.100845,447.720581,-255.724228,28.741314,,,,,,,,,,,,,,,,,,,,,,-17.413849,-1.294024,-11.792696,13.829540,-2.379515,-1.600761,8.646493,-1.708950,6.120593,8.596830,0.000000,0.000000,2.185992,-0.392407,9.778966,2.185992,0.392407,-9.778966,-64.461929,2.449092,-16.126751,,,,,,,-0.138746,0.023784,0.000701,0.025315,0.087074,0.757044,0.113134,0.065145,1.716976,,,,-0.115214,0.000000,0.305887,-6.808769,-32.068546,0.303973,-160.915649,-97.092056,8.241128,0.000000,0.000000,-0.000549,0.000000,0.000000,0.037771,0.000000,0.000000,-0.074731,341.524628,4.120996,815.681885,340.075714,12.190444,1027.082886,133.043503,39.973362,812.884460,377.456757,212.464676,807.975403,437.508636,-140.232544,459.877655,445.865936,-13.194008,817.257080,83.987152,-8.119415,421.182129,574.918152,191.936066,338.587555,460.150696,-249.047348,55.762341,405.557343,-419.412415,137.161301,271.510956,-196.212036,39.826248,468.218964,-166.496429,233.949707,409.632996,-361.204468,124.121147,436.180389,-150.762405,443.877869,54.515747,-228.005707,65.941963,552.538452,-69.301727,-79.853859,478.348419,-192.259048,28.629351,460.150635,-249.047394,55.762306,415.468536,-174.647278,23.317307,481.037811,-164.742111,88.025116
125,198.142349,90.349419,911.145996,494.110077,40.689148,914.339661,269.709412,-153.554871,915.153809,367.135925,-161.425568,925.884277,513.568420,-106.898941,602.443848,490.729462,-146.308533,466.474457,489.786133,-249.068130,329.020752,445.243988,-368.098572,135.370285,389.105255,-427.361847,121.271538,447.683228,-255.139526,28.010416,,,,,,,,,,,,,,,,,,,,,,-17.320505,-2.003279,-11.544234,15.295016,-1.953766,-2.255606,6.529098,-1.788075,6.392942,6.488322,0.000000,0.000000,2.031462,-0.277078,9.540234,2.031462,0.277078,-9.540234,-61.115746,3.466108,-16.010351,,,,,,,-0.149130,0.029613,-0.020091,-0.006457,0.092099,0.765159,0.104291,0.053967,1.722933,,,,-3.113404,0.000000,-0.957699,-13.470005,-34.496155,-0.894286,-150.055450,-97.931480,8.768375,0.000000,0.000000,-0.011730,0.000000,0.000000,0.059602,0.000000,0.000000,-0.033993,338.761505,15.479425,817.155518,337.738403,22.978785,1028.580078,130.129944,50.485611,814.904236,373.825073,223.988327,809.929260,439.293610,-127.773849,460.489746,443.175842,-1.412582,818.459045,84.258026,0.161636,419.179596,573.677185,206.575699,341.008728,460.612610,-247.041946,54.366016,406.402985,-412.462158,145.623581,272.035522,-193.923080,38.632961,472.034515,-155.145203,227.729782,410.589783,-355.061218,129.424240,437.924805,-138.613144,444.701233,56.283081,-221.766052,68.631668,554.520752,-68.043488,-80.102005,478.682526,-191.901840,23.946823,460.612640,-247.041901,54.366009,415.823486,-174.195541,18.702478,482.489838,-161.269592,81.734749
126,195.456024,100.640114,913.058777,491.208252,52.295723,915.609985,268.097839,-142.966217,916.281189,365.625092,-150.504593,926.969971,514.151917,-93.565224,602.995239,492.795837,-132.374283,467.287811,491.278046,-238.305954,332.187561,446.057434,-360.934082,141.119186,389.031586,-419.019073,129.824005,447.403015,-254.393875,27.281021,,,,,,,,,,,,,,,,,,,,,,-17.076429,-2.672390,-11.172841,16.915817,-1.489452,-2.841306,4.129699,-1.812295,6.476248,4.103301,0.000000,0.000000,1.892852,-0.184619,9.294480,1.892852,0.184619,-9.294480,-57.466587,4.595531,-15.867519,,,,,,,-0.166423,0.037456,-0.041714,-0.041416,0.100597,0.779786,0.094060,0.046495,1.735324,,,,-8.008380,0.000000,-2.588207,-18.286432,-38.475491,-2.393268,-140.340927,-102.265030,9.562876,0.000000,0.000000,-0.034116,0.000000,0.000000,0.081520,0.000000,0.000000,-0.002151,336.010529,26.626709,818.640198,335.328857,33.614590,1030.083618,127.229126,60.754665,816.839233,370.179169,235.298920,811.854065,441.148743,-114.542625,460.994690,440.497498,10.173782,819.719727,84.513885,8.589073,417.538574,571.722168,222.388641,344.092285,460.852844,-244.888062,52.899513,407.114380,-404.278015,154.572891,272.403412,-191.259125,37.368721,476.000336,-143.156860,220.386139,411.415314,-347.952179,134.984207,439.728943,-125.688934,445.426086,57.738312,-215.414429,72.349640,555.247437,-65.800507,-80.142548,478.765594,-191.758118,19.008390,460.852753,-244.888107,52.899490,415.949127,-173.881775,13.831455,483.814758,-157.847748,74.837280
127,192.744110,110.725388,914.896240,488.291107,63.729519,916.943787,266.520142,-132.558258,917.457886,364.142731,-139.791473,928.096069,514.817139,-79.698326,603.427612,494.938507,-117.606148,467.935059,492.850189,-226.549454,335.271301,446.760468,-352.720337,147.035446,388.916107,-409.532959,138.710114,446.861969,-253.351120,26.663549,,,,,,,,,,,,,,,,,,,,,,-16.682177,-3.300291,-10.681232,18.686068,-0.976206,-3.332018,1.517872,-1.778832,6.361143,1.508525,0.000000,0.000000,1.771026,-0.115183,9.042842,1.771026,0.115183,-9.042842,-53.586929,5.785546,-15.673907,,,,,,,-0.190956,0.046528,-0.062189,-0.077228,0.112014,0.800804,0.084216,0.041185,1.754882,,,,-14.845657,-0.000000,-4.353619,-19.944105,-43.777931,-3.933270,-133.807236,-109.113754,10.928239,0.000000,0.000000,-0.068196,0.000000,0.000000,0.098415,0.000000,0.000000,0.025139,333.283081,37.557049,820.130493,332.857788,44.095356,1031.588989,124.352966,70.779610,818.683044,366.534424,246.389832,813.740234,443.058197,-100.558067,461.394043,437.842010,21.556824,821.034546,84.760071,17.180077,416.219666,569.057373,239.303986,347.822327,460.804016,-242.544434,51.585705,407.704620,-394.835083,163.917709,272.530212,-188.268890,36.170959,479.880219,-130.775955,212.129715,412.087372,-339.872253,140.794388,441.576172,-112.008881,446.053955,58.822845,-208.969498,77.207214,554.597961,-62.532288,-79.995026,478.503693,-191.780869,14.141698,460.803894,-242.544434,51.585701,415.745758,-173.689026,9.003456,484.862427,-154.524719,67.656364
128,190.019287,120.605347,916.651794,485.378479,74.979706,918.334900,264.978180,-122.332840,918.682617,362.690430,-129.286758,929.260742,515.550232,-65.321548,603.752747,497.131012,-102.038521,468.429016,494.485199,-213.800659,338.251984,447.328308,-343.452850,153.092468,388.760406,-398.946075,147.858337,446.055511,-251.817886,26.302366,,,,,,,,,,,,,,,,,,,,,,-16.139761,-3.884720,-10.072058,20.596426,-0.403213,-3.699106,-1.201005,-1.684646,6.036882,-1.194344,0.000000,0.000000,1.666892,-0.068905,8.786971,1.666892,0.068905,-8.786971,-49.588078,6.962768,-15.412660,,,,,,,-0.221075,0.055369,-0.078869,-0.109543,0.125039,0.825512,0.078228,0.035947,1.777813,,,,-23.251093,-0.000000,-5.881972,-16.994194,-49.719265,-5.143131,-133.074371,-116.548782,13.115980,0.000000,0.000000,-0.109387,0.000000,0.000000,0.103137,0.000000,0.000000,0.054847,330.594269,48.263786,821.620728,330.339844,54.417751,1033.090942,121.517563,80.561005,820.429321,362.912445,257.253296,815.577820,445.000336,-85.850876,461.694672,435.223999,32.726387,822.397705,84.995850,25.937943,415.187897,565.681885,257.231506,352.180908,460.415527,-239.873566,50.693264,408.179535,-384.142639,173.527634,272.335083,-184.948196,35.220909,483.384888,-118.217972,203.345734,412.578003,-330.819824,146.841873,443.445007,-97.602310,446.590820,59.476318,-202.453659,83.328552,552.431641,-58.194916,-79.673538,477.827576,-191.783905,9.748450,460.415588,-239.873596,50.693226,415.134094,-173.475479,4.590998,485.484009,-151.232056,60.632603
129,187.297470,130.280899,918.319031,482.494629,86.034019,919.775879,263.474396,-112.291901,919.953430,361.270172,-118.990379,930.461853,516.334473,-50.465954,603.988403,499.342102,-85.718155,468.789154,496.160431,-200.071350,341.108429,447.730591,-333.133118,159.253433,388.553101,-387.316528,157.169205,445.003418,-249.544373,26.365520,,,,,,,,,,,,,,,,,,,,,,-15.453091,-4.422631,-9.348220,22.633080,0.240602,-3.914867,-3.891945,-1.526978,5.493166,-3.874044,0.000000,0.000000,1.581296,-0.045668,8.528990,1.581296,0.045668,-8.528990,-45.614017,8.039745,-15.081982,,,,,,,-0.253281,0.062110,-0.089274,-0.134575,0.137835,0.848644,0.077702,0.028068,1.799191,,,,-32.454784,-0.000000,-6.756102,-8.655139,-55.206852,-5.663309,-139.328842,-122.012543,16.177006,0.000000,0.000000,-0.147965,0.000000,0.000000,0.089216,0.000000,0.000000,0.093683,327.962494,58.740059,823.104919,327.793854,64.578087,1034.584229,118.742233,90.099915,822.072388,359.338898,267.881409,817.356445,446.949432,-70.464500,461.909821,432.661346,43.671410,823.803284,85.216431,34.850914,414.413116,561.592896,276.060669,357.147156,459.672119,-236.633194,50.495525,408.530609,-372.255585,183.241821,271.761169,-181.216217,34.719067,486.214233,-105.614136,194.578796,412.855225,-320.798187,153.104553,445.308685,-82.510956,447.049469,59.650360,-195.874435,90.830917,548.615051,-52.748016,-79.179840,476.719299,-191.425674,6.246756,459.672119,-236.633118,50.495506,414.082336,-172.953339,0.987932,485.566681,-147.752670,54.274498
