WALKING 08
Date:,2019/07/18
Time:,15:31:28
Type:,
Description:,""
Notes:,""

EVENTS
Subject,Context,Name,Time (s),Description
Patient 1,Right,Foot Strike,1.960000,The instant the heel strikes the ground
Patient 1,Right,Foot Off,2.780000,The instant the toe leaves the ground

TRAJECTORIES
100.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,RTHI,,,RKNE,,,RTIB,,,RANK,,,RHEE,,,RTOE,,,*1,,,*2,,,*3,,,*4,,,*5,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,LPelvisAngles,,,RPelvisAngles,,,RFootProgressAngles,,,RGroundReactionForce,,,RNormalisedGRF,,,RAnkleForce,,,RKneeForce,,,RHipForce,,,RGroundReactionMoment,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RAnklePower,,,RKneePower,,,RHipPower,,,PELO,,,PELP,,,PELL,,,PELA,,,RFEO,,,RFEP,,,RFEL,,,RFEA,,,RFOO,,,RFOP,,,RFOL,,,RFOA,,,RTIO,,,RTIP,,,RTIL,,,RTIA,,,RTOO,,,RTOP,,,RTOL,,,RTOA
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
140,208.973740,162.455856,916.282776,506.001892,114.968651,918.901550,282.650055,-79.855400,918.900208,379.881500,-87.292137,931.620422,527.715881,-41.262814,609.604004,507.444366,-81.455826,474.958984,501.314911,-192.058075,343.541962,452.924652,-315.758179,152.216568,390.656219,-366.183899,143.439423,461.173492,-218.612122,26.593475,,,,,,,,,,,,,,,,-18.241783,-3.052195,-15.423923,16.962414,-1.312095,-4.949655,-0.468913,-2.577050,9.090114,-0.463024,0.000000,0.000000,1.997611,-0.185543,9.094955,1.997611,0.185543,-9.094955,-51.133701,8.412196,-18.952528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.330200,88.669907,821.990417,349.645142,96.044388,1033.420654,141.431168,122.067581,820.148682,383.771606,297.446838,814.816833,457.246246,-60.513206,466.801361,454.874084,72.582771,823.089478,110.108643,84.312401,410.388672,612.652893,265.020782,346.228668,475.327301,-209.127884,52.527660,411.730469,-353.324615,168.739685,292.122772,-142.167847,35.353813,502.420319,-94.820648,209.187531,420.008789,-299.717590,144.124039,455.473877,-71.898407,451.443115,82.779816,-135.379318,61.214920,600.627808,-37.618896,-71.016449,496.526337,-161.062378,13.790303,475.327362,-209.127945,52.527664,435.458160,-138.742310,8.065718,505.557404,-122.959961,66.010269
141,205.399826,171.473160,918.170898,502.182953,126.258987,920.971008,281.097351,-70.466164,920.966492,378.488556,-77.426750,933.181335,529.219971,-25.387590,608.834595,510.531006,-63.972794,474.180939,503.378326,-177.572388,345.805542,452.316528,-304.583496,158.845703,389.393921,-353.655029,153.792114,460.369049,-218.419617,27.332384,,,,,,,,,,,,,,,,-17.353485,-3.582576,-14.068843,19.448462,-0.368256,-5.424729,-3.725923,-1.971453,7.022950,-3.697929,0.000000,0.000000,1.954748,-0.242519,8.675242,1.954748,0.242519,-8.675242,-46.179195,9.926604,-19.457680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.072754,98.841591,823.928040,346.177277,106.057930,1035.363037,137.935043,130.703247,821.954834,378.982910,307.864075,816.929199,459.699860,-44.572556,466.129669,451.731110,83.523026,825.093201,107.377655,89.895142,410.323761,605.069580,288.348999,350.554230,475.169495,-207.153839,52.039978,409.942383,-340.365417,179.878159,293.304321,-137.424057,31.907331,506.997040,-81.714890,198.990921,419.088531,-289.038696,151.067032,457.754639,-56.282166,451.038635,80.919891,-130.834793,71.901794,591.716858,-31.260590,-71.202042,496.911926,-162.750000,9.427260,475.169525,-207.153870,52.039940,436.290222,-139.506744,2.716346,507.521057,-120.937042,58.410923
142,201.973877,180.320175,919.927856,498.550995,137.255234,922.961182,279.593811,-61.245792,922.978882,377.129578,-67.749916,934.723999,530.615356,-9.493651,608.234680,513.375854,-46.373718,473.541840,505.269562,-162.472946,347.775787,451.531769,-292.479095,164.891174,388.009979,-340.469269,162.999542,459.490662,-215.544250,28.568542,,,,,,,,,,,,,,,,-16.412971,-4.064170,-12.727715,21.808842,0.676667,-5.662167,-6.277726,-1.375317,4.969187,-6.254036,0.000000,0.000000,1.929890,-0.305493,8.276567,1.929890,0.305493,-8.276567,-42.054832,10.980838,-19.777411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.975983,108.756104,825.776123,342.847961,115.880623,1037.213013,134.622498,139.155609,823.634888,374.429932,317.999268,818.888000,461.976685,-28.488546,465.589630,448.738007,94.169159,827.025513,105.068604,95.703247,410.370789,597.244751,311.198944,355.267120,474.503723,-203.192352,52.922192,408.247284,-326.618866,189.737656,293.615173,-131.929382,29.611271,509.602051,-68.916626,191.054810,417.968353,-277.454163,157.542862,459.856323,-40.483429,450.748352,78.472931,-125.476166,83.214256,581.881287,-23.236237,-71.334808,496.589111,-162.050156,7.317046,474.503632,-203.192322,52.922222,436.292908,-138.295822,-0.453252,508.288574,-117.291557,53.361252
143,198.696228,188.997208,921.554321,495.106110,147.957855,924.872131,278.139435,-52.194023,924.937195,375.804535,-58.261364,936.248352,531.901794,6.417861,607.805115,515.978455,-28.659966,473.042847,506.986084,-146.764557,349.456940,450.572662,-279.446167,170.350510,386.505249,-326.626221,171.058228,458.537262,-209.989166,30.292547,,,,,,,,,,,,,,,,-15.418170,-4.497084,-11.393439,24.039528,1.810434,-5.678169,-8.125569,-0.793724,2.952558,-8.114710,0.000000,0.000000,1.922749,-0.374800,7.899320,1.922749,0.374800,-7.899320,-38.798107,11.605938,-19.966389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.040680,118.413902,827.534363,339.656799,125.512009,1038.970703,131.492645,147.426865,825.188843,370.115387,327.854828,820.693542,464.070007,-12.266042,465.184845,445.895538,104.520721,828.886230,103.141876,101.723656,410.546173,589.164856,333.588470,360.379913,473.459412,-196.931854,54.911377,406.595581,-312.248962,198.346680,293.179565,-125.191383,28.548969,510.485046,-55.872421,185.578247,416.658020,-264.962982,163.547928,461.773376,-24.507462,450.572632,75.571808,-119.302292,95.133286,571.131958,-13.563858,-71.342880,495.747375,-158.492767,7.099618,473.459412,-196.931839,54.911346,435.654083,-134.579300,-1.687882,508.089203,-111.472977,50.655270
144,195.567673,197.505051,923.052246,491.848663,158.368286,926.703674,276.734100,-43.310154,926.841309,374.513367,-48.960331,937.754456,533.078491,22.343790,607.548523,518.337708,-10.835242,472.686859,508.521454,-130.459763,350.860321,449.445587,-265.487762,175.217102,384.883179,-312.124420,177.960129,457.506866,-201.767365,32.477924,,,,,,,,,,,,,,,,-14.367518,-4.881566,-10.060884,26.135424,3.021199,-5.500158,-9.306055,-0.229645,0.989301,-9.304654,0.000000,0.000000,1.932935,-0.450434,7.543775,1.932935,0.450434,-7.543775,-36.397568,11.862588,-20.073076,,,,,,,-0.323341,0.102269,0.000401,-0.086446,0.191353,0.743235,-0.090177,-0.014607,1.631614,,,,-64.810371,0.000000,-16.944284,106.057144,-75.009506,-16.283655,-181.092484,-141.453293,19.148252,0.000000,0.000000,-0.155092,0.000000,0.000000,-0.243846,0.000000,0.000000,0.260065,338.266724,127.816437,829.204163,336.603577,134.952103,1040.637207,128.544357,155.519424,826.619507,366.040253,337.433289,822.348267,465.974274,4.088531,464.918884,443.204895,114.578812,830.675293,101.563354,107.946930,410.858978,580.824585,355.527985,365.903381,472.149475,-188.225754,57.717964,404.943085,-297.359802,205.756927,292.159454,-116.798447,28.662598,509.956573,-42.176514,182.548767,415.174438,-251.562119,169.068329,463.500549,-8.360336,450.512421,72.378723,-112.271851,107.565323,559.566223,-2.274307,-71.139694,494.551605,-151.847733,8.371630,472.149475,-188.225754,57.717949,434.554932,-128.038635,-1.313487,507.153961,-103.164658,49.981895
145,192.589493,205.845291,924.425659,488.778961,168.489517,928.455933,275.377594,-34.592709,928.690613,373.255981,-39.845238,939.242188,534.144043,38.277859,607.469299,520.451660,7.093256,472.479095,509.864319,-113.581436,352.006866,448.163666,-250.609024,179.478119,383.152863,-296.960175,183.692993,456.397736,-190.912476,35.072605,,,,,,,,,,,,,,,,-13.260488,-5.218044,-8.727466,28.089142,4.296479,-5.170193,-9.877047,0.312979,-0.901630,-9.875812,0.000000,0.000000,1.959688,-0.532047,7.210034,1.959688,0.532047,-7.210034,-34.810616,11.829459,-20.135153,,,,,,,-0.308046,0.091378,0.013199,-0.068137,0.183665,0.715965,-0.051565,-0.033211,1.601461,,,,-61.292725,0.000000,-15.137215,112.799065,-66.361267,-15.407697,-199.827682,-121.995842,20.598133,0.000000,0.000000,-0.083007,0.000000,0.000000,-0.246624,0.000000,0.000000,0.322661,335.654572,136.967026,830.786377,333.690063,144.201309,1042.213501,125.776550,163.437088,827.930542,362.205658,346.739777,823.855408,467.683777,20.566673,464.797089,440.666626,124.346329,832.392944,100.305054,114.370903,411.313080,572.229675,377.017853,371.847626,470.665466,-177.050415,61.069839,403.259827,-282.001190,212.014526,290.724976,-106.430237,29.817595,508.353546,-27.582657,181.823654,413.544373,-237.246414,174.075073,465.034241,7.949524,450.569366,69.083435,-104.288498,120.314484,547.398071,10.589233,-70.633011,493.134003,-142.066788,10.754938,470.665466,-177.050385,61.069855,433.153839,-118.526733,0.337520,505.696686,-92.244179,51.006210
146,189.763321,214.020523,925.681152,485.897064,178.326736,930.129028,274.069641,-26.039186,930.484497,372.032318,-30.913460,940.711426,535.096436,54.209816,607.573486,522.317505,25.114012,472.426758,510.999146,-96.163116,352.926697,446.748291,-234.817429,183.113632,381.332825,-281.127197,188.243271,455.210724,-177.489624,37.995213,,,,,,,,,,,,,,,,-12.097609,-5.507309,-7.393809,29.890686,5.622188,-4.743818,-9.908241,0.827721,-2.693572,-9.897182,0.000000,0.000000,2.001945,-0.618772,6.897935,2.001945,0.618772,-6.897935,-33.976395,11.592836,-20.179178,,,,,,,-0.290048,0.079832,0.025202,-0.051787,0.173079,0.685267,-0.019341,-0.053006,1.569425,,,,-56.962070,0.000000,-13.280528,117.655525,-56.970047,-14.350693,-213.081680,-101.584892,21.421869,0.000000,0.000000,-0.024184,0.000000,0.000000,-0.243755,0.000000,0.000000,0.375922,333.203278,145.870956,832.284180,330.918518,153.260986,1043.702637,123.186951,171.184799,829.129761,358.610382,355.780945,825.221436,469.193390,37.157688,464.825531,438.280914,133.828918,834.039612,99.343475,121.005676,411.905914,563.402710,398.051178,378.220551,469.081146,-163.466660,64.730652,401.534271,-266.179718,217.144379,289.037354,-93.856697,31.849445,506.015411,-11.984055,183.184769,411.803986,-222.008392,178.523224,466.371185,24.412537,450.745972,65.880920,-95.207863,133.081558,534.953247,24.982346,-69.742584,491.596771,-129.228989,13.926088,469.081146,-163.466660,64.730652,431.582184,-106.025673,2.965674,503.908173,-78.734802,53.410782
147,187.090714,222.034546,926.828247,483.202332,187.887939,931.723755,272.809998,-17.645823,932.221985,370.842407,-22.161110,942.161865,535.933105,70.124901,607.868042,523.931885,43.210716,472.537933,511.908691,-78.247154,353.655731,445.229279,-218.123474,186.097672,379.453369,-264.616882,191.600693,453.951538,-161.602509,41.138664,,,,,,,,,,,,,,,,-10.880744,-5.750483,-6.064319,31.528229,6.981807,-4.284165,-9.475024,1.305662,-4.352581,-9.447447,0.000000,0.000000,2.058148,-0.709316,6.606966,2.058148,0.709316,-6.606966,-33.824368,11.236635,-20.221863,,,,,,,-0.269500,0.068312,0.035099,-0.039694,0.160354,0.651964,0.005530,-0.072530,1.537355,,,,-52.070908,0.000000,-11.446651,120.062630,-47.414883,-13.104982,-219.900070,-81.311462,21.719133,0.000000,0.000000,0.020171,0.000000,0.000000,-0.233116,0.000000,0.000000,0.415835,330.911804,154.536392,833.701111,328.292816,162.133743,1045.108398,120.772995,178.768890,830.226990,355.251587,364.566528,826.454773,470.498199,53.848919,465.010803,436.047333,143.035629,835.616089,98.657928,127.878967,412.629700,554.387207,418.615540,385.027374,467.455139,-147.592224,68.504593,399.771332,-249.872467,221.148453,287.234619,-78.940086,34.593941,503.259491,4.618576,186.370667,409.995789,-205.841522,182.355347,467.508606,41.017349,451.044525,62.942139,-84.862984,145.492706,522.632080,40.868439,-68.419815,490.016418,-113.498848,17.623308,467.455139,-147.592255,68.504585,429.942932,-90.614799,6.319747,501.951202,-62.761921,56.911987
148,184.572662,229.892288,927.879272,480.693054,197.184326,933.241638,271.598419,-9.407471,933.901794,369.686523,-13.582984,943.592773,536.651062,86.003822,608.359131,525.291504,61.362171,472.820160,512.577515,-59.881908,354.229309,443.643311,-200.541992,188.400970,377.556396,-247.419113,193.762970,452.632599,-143.395462,44.380592,,,,,,,,,,,,,,,,-9.613176,-5.949065,-4.747113,32.989586,8.356179,-3.852809,-8.654556,1.736849,-5.842877,-8.609252,0.000000,0.000000,2.126236,-0.801988,6.336160,2.126236,0.801988,-6.336160,-34.279747,10.832918,-20.271852,,,,,,,-0.247257,0.057350,0.042368,-0.033276,0.146491,0.617209,0.023055,-0.090193,1.506793,,,,-46.862728,-0.000000,-9.653526,119.709915,-38.198486,-11.656479,-219.979477,-62.155739,21.570522,0.000000,0.000000,0.050578,0.000000,0.000000,-0.214072,0.000000,0.000000,0.439758,328.777649,162.974609,835.043030,325.816467,170.822983,1046.436646,118.530548,186.197372,831.235718,352.123413,373.109650,827.568420,471.593353,70.625671,465.357910,433.963989,151.979218,837.123840,98.225616,135.035339,413.471649,545.246704,438.698029,392.267639,465.833862,-129.582962,72.235962,397.989777,-233.039856,224.013290,285.423553,-61.642319,37.903797,500.356445,22.151184,191.094910,408.165009,-188.745102,185.508545,468.444885,57.750885,451.466583,60.384918,-73.104630,157.155304,510.843933,58.225769,-66.662079,488.448547,-95.097328,21.643539,465.833862,-129.582947,72.235970,428.311798,-72.450462,10.199484,499.956055,-44.519295,61.263168
149,182.208878,237.599808,928.848877,478.365906,206.230423,934.684998,270.434937,-1.317566,935.522644,368.565399,-5.172536,945.003113,537.247192,101.823051,609.051086,526.393494,79.542496,473.278412,512.995667,-41.119095,354.675781,442.031006,-182.093628,189.995010,375.691223,-229.522980,194.738815,451.274261,-123.050255,47.597210,,,,,,,,,,,,,,,,-8.299501,-6.104887,-3.453666,34.264107,9.723628,-3.501046,-7.523417,2.112289,-7.133873,-7.464843,0.000000,0.000000,2.203752,-0.894805,6.084065,2.203752,0.894805,-6.084065,-35.266838,10.435119,-20.331730,,,,,,,-0.223806,0.046900,0.046231,-0.034094,0.132096,0.581822,0.032989,-0.105374,1.479515,,,,-41.492275,-0.000000,-7.848855,116.125183,-29.567883,-9.961666,-212.736206,-44.645149,20.939852,0.000000,0.000000,0.068566,0.000000,0.000000,-0.186904,0.000000,0.000000,0.444804,326.796600,171.199646,836.315796,323.492767,179.333817,1047.693481,116.453934,193.479477,832.170776,349.216614,381.425842,828.576355,472.474731,87.471260,465.869476,432.027771,160.676270,838.564819,98.018799,142.535049,414.415771,536.063599,458.288940,399.934265,464.253204,-109.621521,75.806847,396.217224,-215.636688,225.721344,283.677490,-42.031281,41.653679,497.509552,40.494476,197.057312,406.354889,-170.728363,187.924118,469.178040,74.597733,452.011475,58.261993,-59.837227,167.717941,499.941132,77.045822,-64.510742,486.931976,-74.283127,25.835340,464.253296,-109.621536,75.806831,426.740051,-51.753075,14.450917,498.017365,-24.244453,66.252174
