WALKING 09
Date:,2019/07/18
Time:,15:31:41
Type:,
Description:,""
Notes:,""

EVENTS
Subject,Context,Name,Time (s),Description
Patient 1,Right,Foot Strike,1.710000,The instant the heel strikes the ground

TRAJECTORIES
100.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,RTHI,,,RKNE,,,RTIB,,,RANK,,,RHEE,,,RTOE,,,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,LPelvisAngles,,,RPelvisAngles,,,RFootProgressAngles,,,RGroundReactionForce,,,RNormalisedGRF,,,RAnkleForce,,,RKneeForce,,,RHipForce,,,RGroundReactionMoment,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RAnklePower,,,RKneePower,,,RHipPower,,,PELO,,,PELP,,,PELL,,,PELA,,,RFEO,,,RFEP,,,RFEL,,,RFEA,,,RFOO,,,RFOP,,,RFOL,,,RFOA,,,RTIO,,,RTIP,,,RTIL,,,RTIA,,,RTOO,,,RTOP,,,RTOL,,,RTOA
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
121,207.346298,150.076874,918.261475,505.509613,117.150635,918.058228,293.535461,-90.350204,921.533081,391.700562,-92.085243,933.237061,533.729248,-35.420990,608.978210,513.533813,-74.971512,472.539703,513.877808,-184.097397,338.972168,470.829559,-310.630829,148.960846,412.435974,-366.587463,140.257034,472.335907,-211.407471,26.058870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.146236,-3.105999,-15.316885,17.529041,-1.796294,-2.640234,0.798848,-2.045840,7.278013,0.792412,0.000000,0.000000,2.331434,0.296411,6.294825,2.331434,-0.296411,-6.294825,-53.062176,5.533881,-15.939672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.741608,82.708275,822.915649,351.836029,91.314407,1034.297607,140.460022,105.929733,823.058960,373.937714,292.813721,814.241394,462.278381,-56.497559,465.017334,455.948669,71.714142,823.017700,107.852203,71.248024,413.000916,600.062866,277.995148,347.660614,486.020660,-200.730621,51.616932,431.821442,-352.410706,165.658173,297.136169,-146.174500,34.409897,504.320923,-86.859665,211.767838,436.432800,-297.469696,141.897018,461.049713,-67.952240,449.657654,83.559906,-162.450897,69.429901,587.679504,-19.814301,-77.266769,504.086975,-150.170547,13.603181,486.020599,-200.730576,51.616955,441.125458,-131.985199,7.867518,510.187073,-112.213547,66.986824
122,204.141495,159.730728,919.963074,502.167297,128.445297,920.427551,291.888214,-80.126083,923.323425,390.126495,-81.928429,934.801636,534.918457,-17.372663,607.588989,516.253052,-54.829624,471.291779,515.892883,-168.038086,341.650452,471.432220,-298.621460,156.592331,412.899567,-353.415192,152.380112,471.062805,-210.955292,27.056250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.039335,-3.472885,-13.323444,20.402760,-1.096801,-3.911691,-2.750950,-1.779919,6.364884,-2.733980,0.000000,0.000000,2.247788,0.146674,5.991576,2.247788,-0.146674,-5.991576,-47.827568,6.939160,-15.741071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.970947,93.294304,824.862976,348.512512,101.591980,1036.259399,137.567413,115.381454,824.535034,370.053894,303.534424,816.554138,464.284821,-38.296818,464.153168,453.235229,82.867355,825.201599,104.288879,76.229645,414.701874,588.541199,304.284210,352.989227,485.631287,-197.834671,50.514946,432.090179,-338.616089,178.044403,297.067017,-142.436661,32.503948,508.580872,-71.100807,200.053101,436.834290,-285.943024,149.629318,462.971313,-50.146515,449.103333,84.342834,-156.772537,78.688705,581.866821,-14.497223,-76.756546,503.478363,-150.907486,8.005141,485.631348,-197.834625,50.514965,440.623596,-132.441483,2.001489,511.128235,-108.662865,57.851196
123,201.121613,169.262070,921.559448,499.054565,139.495224,922.704529,290.310944,-70.059975,925.072876,388.610260,-71.900223,936.335754,535.993469,0.655729,606.476563,518.754517,-34.633755,470.305908,517.775391,-151.212753,344.032257,471.713989,-285.596130,163.678314,413.020905,-339.455231,163.335052,469.895660,-207.818771,28.616249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.893557,-3.804693,-11.381464,23.156099,-0.204788,-4.699493,-5.620861,-1.418767,5.119399,-5.598366,0.000000,0.000000,2.178515,-0.002447,5.709748,2.178515,0.002447,-5.709748,-43.398811,7.883307,-15.494967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.389099,103.676033,826.726074,345.380066,111.718109,1038.133179,134.878754,124.708389,825.916992,366.437012,314.034241,818.724792,466.174255,-20.007574,463.495483,450.703247,93.776642,827.306152,101.455139,81.445702,416.255646,577.012024,329.713470,358.831268,484.845673,-193.267181,51.075634,432.121002,-323.937317,189.261154,296.459106,-137.716049,31.726664,510.930511,-56.193481,190.647079,436.844025,-273.513031,157.020691,464.762268,-32.212189,448.741058,83.853516,-151.194473,89.624985,573.681824,-7.207977,-76.353149,502.420471,-149.710480,5.013787,484.845581,-193.267181,51.075623,439.624939,-131.193436,-1.435870,511.115417,-104.019241,51.537598
124,198.286682,178.671127,923.051331,496.171143,150.301102,924.889038,288.803528,-60.151527,926.781250,387.151794,-62.000351,937.839294,536.954529,18.662184,605.642639,521.037842,-14.386011,469.583435,519.521423,-133.632751,346.123840,471.677246,-271.557526,170.214722,412.799561,-324.707916,173.114960,468.833160,-201.999405,30.727697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.706485,-4.100432,-9.482040,25.777561,0.857192,-5.031092,-7.768060,-0.973435,3.576753,-7.752836,0.000000,0.000000,2.123719,-0.151013,5.449594,2.123719,0.151013,-5.449594,-39.829582,8.358013,-15.244164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.995697,113.853516,828.505188,342.438080,121.693359,1039.919067,132.392685,133.911011,827.205933,363.087494,324.314575,820.753662,467.937286,-1.632707,463.050995,448.352966,104.441666,829.331055,99.290375,86.906059,417.699371,565.468506,354.324493,365.180939,483.788635,-186.587555,53.090149,431.896942,-308.548187,199.318283,295.398102,-131.673004,32.037491,511.466675,-41.467575,183.948593,436.481903,-260.166809,164.067902,466.414185,-14.151535,448.573395,82.359589,-145.558075,102.220886,563.226807,1.947968,-75.920425,501.085815,-145.934052,4.347432,483.788574,-186.587601,53.090145,438.288971,-127.629196,-2.670129,510.311829,-97.560730,47.966915
125,195.636765,187.958527,924.440369,493.515930,160.864838,926.981140,287.365784,-50.399723,928.448120,385.751068,-52.228073,939.312134,537.802429,36.641232,605.091675,523.102600,5.907967,469.127899,521.120361,-115.326942,347.942413,471.328918,-256.511383,176.190002,412.236450,-309.173431,181.702728,467.871216,-193.504852,33.359001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.476482,-4.359370,-7.618618,28.255213,2.067006,-4.957594,-9.210853,-0.457676,1.783517,-9.206352,0.000000,0.000000,2.083333,-0.298932,5.211188,2.083333,0.298932,-5.211188,-37.115402,8.411960,-15.024579,,,,,,,-0.347689,0.077579,-0.014731,-0.128728,0.163404,0.798814,-0.056340,-0.034263,1.730965,,,,-69.238991,0.000000,-7.808193,100.819572,-69.717567,-6.816090,-177.527527,-120.412048,26.138746,0.000000,0.000000,-0.160549,0.000000,0.000000,-0.292295,0.000000,0.000000,0.282547,340.790222,123.827774,830.201294,339.686401,131.518494,1041.618530,130.107544,142.990494,828.404236,360.005341,334.377686,822.642456,469.565887,16.821844,462.826416,446.184082,114.863419,831.276611,97.741364,92.621246,419.060852,553.911987,378.148193,372.033051,482.565155,-177.543961,56.257080,431.403625,-292.562500,208.253952,294.005432,-123.981476,33.320221,510.449463,-26.376465,180.033768,435.779266,-245.888367,170.747406,467.920746,4.029312,448.603882,80.192810,-139.630768,116.307129,550.763367,12.852081,-75.277328,499.619080,-139.204437,5.591462,482.565247,-177.543945,56.257080,436.765839,-121.350281,-2.054147,508.913849,-88.815277,46.850357
126,193.171722,197.125519,925.729980,491.086487,171.190231,928.980835,285.997253,-40.802502,930.072754,384.407776,-42.581894,940.754028,538.538879,54.582191,604.831482,524.947632,26.237358,468.945221,522.552795,-96.346176,349.520142,470.683899,-240.466461,181.581024,411.337921,-292.850983,189.069092,467.001404,-182.356766,36.447689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.202956,-4.581213,-5.788406,30.574532,3.401480,-4.560233,-10.008729,0.110351,-0.195524,-10.008670,0.000000,0.000000,2.057021,-0.445764,4.994333,2.057021,0.445764,-4.994333,-35.213619,8.135598,-14.863204,,,,,,,-0.330726,0.066161,0.006596,-0.093787,0.155783,0.765200,0.000960,-0.051947,1.686238,,,,-65.803215,0.000000,-6.044165,114.707146,-59.032780,-6.115998,-209.715210,-98.145844,26.117903,0.000000,0.000000,-0.083568,0.000000,0.000000,-0.327422,0.000000,0.000000,0.375826,338.770416,133.601669,831.815308,337.124451,141.195236,1043.232544,128.020081,151.948853,829.515564,357.187744,344.227722,824.393555,471.053223,35.346992,462.829926,444.195465,125.045204,833.142334,96.764313,98.611969,420.359528,542.361389,401.202393,379.383087,481.261078,-166.039032,60.248085,430.636627,-276.032654,216.095367,292.427124,-114.322975,35.408539,508.255890,-10.550568,178.757278,434.780762,-230.654388,177.005692,469.277191,22.322708,448.835083,77.728424,-133.074158,131.504608,536.772156,25.391174,-74.225403,498.135925,-129.374512,8.298987,481.261078,-166.039078,60.248070,435.191284,-112.135826,0.019102,507.134155,-77.545029,47.802078
127,190.890854,206.174072,926.925903,488.878387,181.283585,930.888611,284.697144,-31.356424,931.653931,383.121643,-33.059338,942.164490,539.166931,72.467995,604.872864,526.571350,46.585110,469.043304,523.790710,-76.761993,350.903656,469.767609,-223.433578,186.350662,410.122650,-275.738983,195.174561,466.210205,-168.598846,39.895908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.886595,-4.766148,-3.993616,32.717587,4.835099,-3.947756,-10.243586,0.707558,-2.275612,-10.235419,0.000000,0.000000,2.043998,-0.590731,4.798462,2.043998,0.590731,-4.798462,-34.060375,7.643132,-14.778608,,,,,,,-0.310414,0.054494,0.028487,-0.057436,0.145670,0.725271,0.051015,-0.070556,1.634021,,,,-61.298977,-0.000000,-4.519552,127.822014,-47.833344,-5.624497,-237.115799,-75.472633,25.597336,0.000000,0.000000,-0.021255,0.000000,0.000000,-0.355154,0.000000,0.000000,0.463119,336.933197,143.180328,833.349609,334.752014,150.725571,1044.763794,126.125900,160.788788,830.546265,354.629517,353.871216,826.012756,472.392426,53.930882,463.069916,442.383972,134.993332,834.928833,96.318665,104.920219,421.606018,530.861755,423.497681,387.225525,479.945923,-152.084259,64.744682,429.603119,-258.960693,222.835938,290.813049,-102.393555,38.109982,505.326538,6.213181,179.842743,433.541077,-214.435211,182.756760,470.479797,40.719360,449.270142,75.326385,-125.457329,147.219604,521.946289,39.487579,-72.596802,496.726868,-116.458778,12.047588,479.945923,-152.084274,64.744659,433.682587,-99.895210,3.169344,505.187073,-63.692978,50.413620
128,188.792404,215.106949,928.036316,486.884369,191.154083,932.705505,283.464386,-22.056458,933.189880,381.892120,-23.656801,943.542603,539.690918,90.274719,605.227417,527.971924,66.927567,469.430206,524.801758,-56.660080,352.147919,468.617096,-205.425110,190.448364,408.628296,-257.835480,199.975098,465.479065,-152.302750,43.574699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.529418,-4.914887,-2.242011,34.664158,6.339062,-3.243291,-10.004182,1.307254,-4.358096,-9.974959,0.000000,0.000000,2.042977,-0.732720,4.622574,2.042977,0.732720,-4.622574,-33.583706,7.052311,-14.781260,,,,,,,-0.287499,0.044319,0.048661,-0.023994,0.134522,0.681228,0.091888,-0.086574,1.578647,,,,-56.183361,0.000000,-3.443859,138.988922,-37.220020,-5.393329,-257.902283,-54.566204,25.047342,0.000000,0.000000,0.023864,0.000000,0.000000,-0.366492,0.000000,0.000000,0.536846,335.272736,152.571625,834.807495,332.567230,160.112946,1046.215820,124.418091,169.514618,831.504700,352.321320,363.317261,827.507996,473.577515,72.559349,463.554047,440.744812,144.717499,836.636353,96.364899,111.614578,422.804138,519.489136,445.041718,395.552338,478.674469,-135.759476,69.457817,428.322876,-241.315735,228.430817,289.292236,-87.931999,41.231583,502.103180,23.991058,182.950928,432.120117,-197.199661,187.887970,471.525665,59.207626,449.909943,73.263458,-116.322586,162.712494,507.100830,55.123962,-70.305176,495.458313,-100.574020,16.466814,478.674438,-135.759430,69.457825,432.330902,-84.631500,7.058078,503.267914,-47.323845,54.297844
129,186.873077,223.927719,929.071655,485.093903,200.813858,934.433289,282.297546,-12.895864,934.678528,380.718658,-14.369553,944.886841,540.116394,107.972107,605.905273,529.147095,87.234772,470.111572,525.554932,-36.131386,353.305328,467.280334,-186.455322,193.813858,406.914703,-239.138626,203.429413,464.785736,-133.571167,47.335838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.134753,-5.028521,-0.546600,36.394066,7.880805,-2.565353,-9.375953,1.881878,-6.342387,-9.318053,0.000000,0.000000,2.052167,-0.870357,4.465220,2.052167,0.870357,-4.465220,-33.712170,6.465633,-14.872951,,,,,,,-0.263402,0.036639,0.065314,0.002722,0.123188,0.635776,0.122902,-0.098545,1.524323,,,,-50.847996,-0.000000,-2.878849,147.006058,-27.811855,-5.399257,-270.594879,-36.418686,24.622196,0.000000,0.000000,0.052829,0.000000,0.000000,-0.355892,0.000000,0.000000,0.590965,333.781006,161.786102,836.193604,330.567383,169.361069,1047.593506,122.887527,178.131546,832.401978,350.249847,372.577576,828.890808,474.601532,91.216217,464.287598,439.270416,154.230942,838.266968,96.854614,118.788818,423.954620,508.346313,465.847565,404.351013,477.484650,-117.184212,74.139214,426.827698,-223.051819,232.807922,287.952728,-70.760757,44.603649,498.963928,42.774376,187.724976,430.576904,-178.923340,192.274124,472.410980,77.775085,450.753479,71.683075,-105.273727,177.217834,493.033813,72.348236,-67.374649,494.370209,-81.895035,21.249659,477.484558,-117.184219,74.139206,431.192932,-66.420555,11.404468,501.529968,-28.575527,59.111565
130,185.127441,232.640732,930.044189,483.492920,210.277863,936.074524,281.195007,-3.866249,936.117371,379.600708,-5.191760,946.194946,540.449524,125.524879,606.911438,530.095032,107.471329,471.087708,526.027405,-15.264173,354.413818,465.813354,-166.541519,196.383270,405.060944,-219.646667,205.505798,464.107544,-112.537743,51.027252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.707261,-5.108510,1.075536,37.889923,9.424623,-2.010228,-8.436532,2.406239,-8.139458,-8.350935,0.000000,0.000000,2.069278,-1.002100,4.324510,2.069278,1.002100,-4.324510,-34.379307,5.957386,-15.046408,,,,,,,-0.238612,0.031278,0.076802,0.019293,0.112211,0.590350,0.142758,-0.105572,1.474615,,,,-45.482906,-0.000000,-2.721349,150.561783,-19.758297,-5.520012,-273.439941,-21.378466,24.120638,0.000000,0.000000,0.068664,0.000000,0.000000,-0.322416,0.000000,0.000000,0.619486,332.447174,170.837082,837.513123,328.747192,178.474869,1048.902832,121.521759,186.646225,833.250061,348.397491,381.667267,830.174744,475.456787,109.883095,465.270966,437.950623,163.550278,839.822327,97.726105,126.556236,425.057434,497.556763,485.938171,413.601318,476.396851,-96.501801,78.588608,425.162689,-204.122543,235.886551,286.835327,-50.822357,48.098888,496.178040,62.498123,193.816818,428.966858,-159.596542,195.794968,473.131775,96.406387,451.794312,70.597748,-92.049828,190.072952,480.394104,91.249329,-63.926620,493.474976,-60.628197,26.155933,476.396942,-96.501762,78.588608,430.287781,-45.401711,15.992715,500.068726,-7.628212,64.565323
