WALKING left 01
Date:,2019/07/18
Time:,15:36:21
Type:,
Description:,""
Notes:,""

EVENTS
Subject,Context,Name,Time (s),Description
Patient 1,Left,Foot Strike,1.350000,The instant the heel strikes the ground
Patient 1,Left,Foot Off,2.230000,The instant the toe leaves the ground

TRAJECTORIES
100.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,LTIB,,,LANK,,,LHEE,,,LTOE,,,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,LHipAngles,,,LKneeAngles,,,LAnkleAngles,,,LAbsAnkleAngle,,,LPelvisAngles,,,RPelvisAngles,,,LFootProgressAngles,,,LGroundReactionForce,,,LNormalisedGRF,,,LAnkleForce,,,LKneeForce,,,LHipForce,,,LGroundReactionMoment,,,LAnkleMoment,,,LKneeMoment,,,LHipMoment,,,LAnklePower,,,LKneePower,,,LHipPower,,,LFEO,,,LFEP,,,LFEL,,,LFEA,,,LFOO,,,LFOP,,,LFOL,,,LFOA,,,LTIO,,,LTIP,,,LTIL,,,LTIA,,,LTOO,,,LTOP,,,LTOL,,,LTOA,,,PELO,,,PELP,,,PELL,,,PELA
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
134,344.467682,1309.692627,914.134644,46.233955,1358.679321,919.272339,273.558441,1552.008667,927.356995,175.248276,1560.303345,938.723511,412.619904,1351.348022,639.697571,384.133026,1287.908447,491.606445,400.306061,1253.844482,345.055695,382.831238,1128.422974,71.771851,304.731201,1147.135376,29.974297,417.236664,993.852661,115.331604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.905462,-7.944514,-29.926313,-2.480091,3.254909,-12.195593,6.556774,-0.619464,1.387821,6.554841,0.000000,0.000000,4.246834,-0.287396,9.373775,4.246834,0.287396,-9.373775,-120.070244,-6.033346,-31.250874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.550690,1267.571167,494.035370,307.025574,1371.380981,821.171082,652.416992,1393.684082,478.973969,456.968414,964.644043,599.870911,436.660400,1000.674988,126.659645,330.741547,1151.726563,39.202843,610.236572,1102.583252,92.453064,418.314545,1092.773926,307.947479,348.959839,1107.291992,78.586449,333.265076,1260.593384,475.947784,705.402466,1329.664795,6.873901,582.082153,777.606201,214.986450,471.966705,950.324097,155.811905,436.660400,1000.674622,126.659622,529.825439,984.293518,144.409698,465.851410,981.023743,216.241211,202.562592,1387.906372,823.123169,203.623764,1372.239868,1034.099487,411.294861,1353.620850,819.527344,168.105331,1179.731812,807.838013
135,345.349335,1299.097168,912.363586,46.942383,1349.946167,917.619629,275.845673,1541.683716,926.468201,177.486450,1550.364624,937.562378,414.294128,1339.524536,639.772644,386.349731,1276.039063,491.631348,402.724457,1242.335083,345.536102,383.467682,1124.029785,70.348969,305.178497,1145.290039,30.915262,416.553711,987.385559,108.122017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.272846,-8.264108,-29.429153,-1.114751,3.184468,-10.261087,5.250331,-0.235609,-0.715588,5.249920,0.000000,0.000000,4.429494,-0.252132,9.717708,4.429494,0.252132,-9.717708,-117.238884,-4.988461,-30.919010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.500275,1256.358643,493.765076,308.059113,1361.344360,819.593872,655.261169,1378.111450,480.564880,454.078094,952.978027,601.221497,435.448364,994.772034,119.152153,330.542114,1150.502197,38.984116,609.938538,1095.817261,87.102776,420.217987,1079.755005,304.165771,348.610168,1104.303955,76.356422,335.116241,1249.721436,475.546082,714.456299,1311.335205,13.305527,564.608459,762.730347,208.086884,470.417175,942.862061,145.874863,435.448486,994.772095,119.152161,528.580566,976.543762,135.191849,465.340302,971.189697,207.546066,203.697357,1378.492554,821.582581,204.628326,1362.153442,1032.508545,412.219635,1342.960205,817.909729,167.987762,1170.578979,805.634460
136,346.458954,1288.545288,910.965149,47.895100,1340.987793,916.268494,278.132019,1531.376099,925.745239,179.720932,1540.379883,936.578613,416.018860,1327.853638,639.992188,388.568115,1264.399414,491.781830,405.112640,1231.192383,346.067261,384.073669,1119.925293,69.102776,305.639343,1143.540894,31.870869,415.956268,981.366089,101.316399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.559361,-8.520793,-28.957512,0.213325,3.128167,-8.374726,4.101215,0.129286,-2.713377,4.096609,0.000000,0.000000,4.567393,-0.213094,10.009873,4.567393,0.213094,-10.009873,-114.587799,-4.142586,-30.533554,-0.001476,0.009858,0.105825,0.100484,-0.015048,1.078742,,,,,,,,,,18.604551,14.985593,-2.662673,,,,,,,,,,,,,,,,,,,336.482574,1245.323853,493.644836,309.305054,1351.240845,818.338013,658.015991,1363.080811,482.144775,451.636108,941.518677,602.386597,434.234711,989.511719,112.143433,330.509247,1149.421265,38.972198,609.630615,1089.722168,82.508766,421.531097,1067.427490,300.429993,348.340240,1101.605713,74.371803,337.001434,1239.035645,475.299652,722.420288,1293.387451,19.212433,547.574341,749.339600,200.756134,468.809875,936.208496,136.533875,434.234680,989.511719,112.143478,527.275208,969.612000,126.655609,464.575378,962.180420,199.296112,205.032303,1368.920654,820.338989,205.819138,1352.073853,1031.225708,413.370483,1332.326172,816.638306,168.259628,1161.231812,803.884827
137,347.796234,1278.037598,909.939087,49.091969,1331.804810,915.218689,280.417389,1521.086060,925.187927,181.951645,1530.349609,935.772095,417.793732,1316.336182,640.355225,390.787567,1252.990479,492.056824,407.469238,1220.417847,346.647797,384.647736,1116.109497,68.031837,306.112091,1141.889160,32.838177,415.439301,975.797607,94.918770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.765858,-8.713240,-28.514360,1.501467,3.080019,-6.556021,3.101112,0.472978,-4.589048,3.091161,0.000000,0.000000,4.660457,-0.171390,10.250676,4.660457,0.171390,-10.250676,-112.115837,-3.468476,-30.113419,-0.007320,0.048700,1.270593,0.496431,-0.074619,12.952019,,,,,,,,,,245.336563,180.297333,-17.204014,,,,,,,,,,,,,,,,,,,338.495087,1234.467529,493.677124,310.763367,1341.072510,817.401978,660.685547,1348.595215,483.694305,449.651398,930.260864,603.376770,433.051605,984.843994,105.648170,330.618347,1148.460938,39.157494,609.339233,1084.217163,78.597878,422.366699,1055.826782,296.779938,348.148163,1099.173950,72.637070,338.918365,1228.534058,475.211670,729.319580,1276.038208,24.544003,531.202026,737.413574,193.079102,467.196106,930.304810,127.811699,433.051636,984.843811,105.648178,525.958679,963.429199,118.794868,463.634552,953.965759,191.522339,206.565735,1359.191406,819.391235,207.198730,1342.002197,1030.250610,414.747864,1321.718384,815.711487,168.917755,1151.687500,802.588562
138,349.360046,1267.575806,909.284607,50.532524,1322.398560,914.469238,282.701538,1510.814453,924.795593,184.178406,1520.274902,935.142273,419.617401,1304.974121,640.858459,393.006622,1241.815063,492.453094,409.790710,1210.016479,347.273743,385.185944,1112.583252,67.132271,306.592194,1140.338501,33.809727,414.990173,970.687866,88.937859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.892986,-8.840152,-28.102329,2.746950,3.034639,-4.823404,2.244444,0.793211,-6.327804,2.230763,0.000000,0.000000,4.708738,-0.127831,10.440446,4.708738,0.127831,-10.440446,-109.821106,-2.938400,-29.674959,-0.010882,0.161879,2.317775,1.650143,-0.110925,23.626663,2.035944,0.219915,-0.532480,-0.404200,0.185816,-1.504396,-0.093709,0.176487,-0.325766,443.580444,330.526154,-55.451653,-68.166313,64.834541,19.386572,-141.656357,158.667725,21.245899,297.415894,176.638382,6.015768,0.000000,0.000000,0.011551,0.000000,0.000000,0.253794,0.000000,0.000000,-0.053077,340.534302,1223.789795,493.862396,312.432983,1330.839478,816.785034,663.274902,1334.657715,485.194885,448.131378,919.196655,604.199158,431.921204,980.720520,99.675964,330.842407,1147.601074,39.525700,609.077942,1079.234863,75.292664,422.827850,1044.984863,293.251587,348.026672,1096.986572,71.152443,340.863617,1218.216797,475.283112,735.202637,1259.497925,29.265160,515.696533,726.901489,185.141647,465.614197,925.093506,119.726021,431.921295,980.720398,99.675972,524.666443,957.931580,111.598328,462.583038,946.514893,184.251236,208.295959,1349.307495,818.738770,208.767990,1331.940430,1029.584229,416.352844,1311.137451,815.128967,169.958542,1141.945313,801.744446
139,351.148010,1257.162964,908.999573,52.215622,1312.772705,914.018066,284.984131,1500.562866,924.566956,186.400879,1510.157715,934.688049,421.487366,1293.771484,641.495728,395.222198,1230.879028,492.963898,412.069824,1199.997070,347.937225,385.681152,1109.347168,66.396843,307.071136,1138.894653,34.772831,414.587463,966.047852,83.386223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.941114,-8.900280,-27.723797,3.946468,2.987312,-3.194219,1.528076,1.087637,-7.916085,1.513511,0.000000,0.000000,4.712533,-0.082959,10.579687,4.712533,0.082959,-10.579687,-107.701897,-2.524817,-29.231762,-0.013692,0.383012,2.595207,3.904304,-0.139568,26.454706,2.384051,0.116423,-0.353312,-0.248475,0.108318,-1.845305,0.006623,0.105091,-0.666974,476.180389,366.831787,-80.569229,-68.603767,69.222839,21.141132,-69.641052,130.355972,21.909800,184.182800,132.063995,9.144739,0.000000,0.000000,0.026550,0.000000,0.000000,0.092337,0.000000,0.000000,-0.007429,342.595581,1213.296143,494.196808,314.312500,1320.546143,816.484375,665.789795,1321.277344,486.625732,447.081635,908.322021,604.854736,430.854309,977.093567,94.231789,331.150787,1146.824097,40.057671,608.847839,1074.718872,72.513062,423.005676,1034.928955,289.878265,347.962799,1095.022583,69.912979,342.831940,1208.087524,475.510742,740.135376,1243.964722,33.354710,501.240082,717.726807,177.027405,464.088928,920.516724,112.289871,430.854401,977.093567,94.231819,523.420105,953.058472,105.050278,461.472717,939.795227,177.505371,210.220627,1339.272827,818.378723,210.526993,1321.891846,1029.223145,418.183838,1300.585938,814.887390,171.377701,1132.007813,801.349243
140,353.155670,1246.804077,909.078918,54.138931,1302.933228,913.861145,287.264587,1490.334106,924.499512,188.618607,1500.002075,934.407410,423.399384,1282.735107,642.256714,397.429138,1220.192139,493.577637,414.294952,1190.373535,348.625458,386.123352,1106.400879,65.815018,307.536774,1137.564575,35.710655,414.203583,961.886597,78.278206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.910492,-8.892593,-27.380669,5.095737,2.934041,-1.685669,0.949926,1.353626,-9.340406,0.937331,0.000000,0.000000,4.672573,-0.037168,10.668983,4.672573,0.037168,-10.668983,-105.756371,-2.200644,-28.794764,-0.016886,0.609290,2.901138,6.210908,-0.172130,29.573273,2.749757,0.008662,-0.160201,-0.078279,0.040823,-2.211744,0.095325,0.032594,-1.042142,512.563660,400.345154,-80.991898,-62.665565,63.208805,-0.078587,4.093305,95.564095,-0.356120,72.213188,75.082581,-8.784011,0.000000,0.000000,-0.014261,0.000000,0.000000,-0.002784,0.000000,0.000000,0.014600,344.672119,1202.995361,494.671417,316.399017,1310.198486,816.496094,668.236328,1308.466675,487.963745,446.504486,897.632813,605.337036,429.852295,973.914368,89.314751,331.510559,1146.113037,40.729023,608.642029,1070.619995,70.175339,422.981781,1025.680054,286.690460,347.939453,1093.260620,68.908745,344.816162,1198.153320,475.885895,744.192993,1229.624268,36.803898,487.996582,709.796021,168.816284,462.632965,916.514954,105.509995,429.852356,973.914551,89.314789,522.229553,948.750183,99.130096,460.342896,933.770203,171.301910,212.336273,1329.094604,818.307739,212.473495,1311.860596,1029.164673,420.239014,1290.068726,814.982727,173.169205,1121.880737,801.396973
141,355.376129,1236.506714,909.513428,56.298393,1292.889648,913.991882,289.542267,1480.132446,924.589539,190.830994,1489.813965,934.297058,425.347229,1271.875366,643.126648,399.619812,1209.769287,494.277435,416.449951,1181.163208,349.321075,386.501282,1103.740479,65.373695,307.974792,1136.354614,36.604465,413.809509,958.205139,73.627907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.801357,-8.816408,-27.074005,6.188917,2.871532,-0.313531,0.507736,1.588634,-10.589110,0.499090,0.000000,0.000000,4.590226,0.009229,10.709094,4.590226,-0.009229,-10.709094,-103.982269,-1.940307,-28.372684,-0.018723,0.760199,3.068855,7.749223,-0.190854,31.282928,2.953189,-0.079868,0.011959,0.068083,-0.005386,-2.422556,0.153280,-0.020792,-1.268324,526.622437,415.170807,-77.850136,-55.339752,57.318607,-16.744558,66.966476,69.377983,-17.682999,-17.666212,29.698484,-21.760406,0.000000,0.000000,-0.036217,0.000000,0.000000,-0.082132,0.000000,0.000000,0.004563,346.754761,1192.901001,495.271118,318.687012,1299.805054,816.812744,670.620850,1296.240479,489.184143,446.395569,887.126953,605.630676,428.909729,971.133850,84.917725,331.888733,1145.452515,41.512394,608.447998,1066.896484,68.196762,422.827271,1017.249084,283.715271,347.937164,1091.678711,68.125267,346.806946,1188.427734,476.393982,747.458862,1216.637939,39.619194,476.101624,703.001709,160.586365,461.250000,913.027649,99.386101,428.909668,971.133911,84.917664,521.096130,944.948547,93.812500,459.222473,928.399353,165.651978,214.637466,1318.783936,818.519104,214.603409,1301.853027,1029.400513,422.512756,1279.594727,815.406311,175.324783,1111.575928,801.876770
142,357.799591,1226.280640,910.287842,58.687565,1282.656128,914.400452,291.816315,1469.964111,924.832031,193.037430,1479.601685,934.352478,427.322235,1261.206787,644.086609,401.783936,1199.630737,495.041260,418.515686,1172.385376,350.003571,386.804474,1101.358032,65.058136,308.370941,1135.269043,37.436008,413.379761,954.992126,69.446320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.614304,-8.671819,-26.804159,7.218706,2.797050,0.909576,0.198083,1.790558,-11.653866,0.194000,0.000000,0.000000,4.467836,0.055839,10.701242,4.467836,-0.055839,-10.701242,-102.376808,-1.721031,-27.972202,-0.019118,0.761135,3.340257,7.758770,-0.194887,34.049515,3.220642,-0.091718,0.038508,0.060910,0.002420,-2.700331,0.035479,-0.028921,-1.550902,572.545959,447.789093,-74.527267,-54.186806,59.360455,-18.885904,68.110657,75.534035,-20.331284,13.802626,31.735569,-26.145460,0.000000,0.000000,-0.026725,0.000000,0.000000,-0.075681,0.000000,0.000000,0.016466,348.831726,1183.034912,495.974945,321.168945,1289.380981,817.422119,672.947632,1284.618408,490.259979,446.743103,876.809021,605.711243,428.017212,968.701660,81.027168,332.254211,1144.826050,42.378414,608.250916,1063.511108,66.499847,422.601776,1009.633850,280.975403,347.936127,1090.253418,67.544220,348.792053,1178.928467,477.014435,750.020996,1205.128296,41.826378,465.651489,697.226196,152.412323,459.938232,909.993530,93.910057,428.017242,968.701660,81.027115,520.016174,941.596680,89.067680,458.133026,923.637573,160.559479,217.116547,1308.355469,819.002686,216.910278,1291.875000,1029.919678,424.997131,1269.174927,816.144531,177.832443,1101.109497,802.770630
143,360.413208,1216.138062,911.379578,61.297058,1272.251343,915.073242,294.085968,1459.836914,925.220459,195.237198,1469.376709,934.567505,429.313385,1250.748169,645.114258,403.908752,1189.801392,495.843170,420.472382,1164.057373,350.651703,387.025146,1099.240112,64.852554,308.712982,1134.309082,38.189564,412.897064,952.223755,65.737640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.350729,-8.460036,-26.570559,8.176837,2.708305,1.977047,0.015629,1.958454,-12.532942,0.015257,0.000000,0.000000,4.308871,0.102047,10.647007,4.308871,-0.102047,-10.647007,-100.936218,-1.524392,-27.598755,-0.020774,0.756225,3.740006,7.708713,-0.211761,38.124432,3.614830,-0.092454,0.043042,0.032383,0.021032,-3.105918,-0.134307,-0.032060,-1.958491,637.213257,490.249481,-64.989090,-45.790398,58.824295,-25.633638,53.718086,82.197960,-27.165222,76.421120,36.487965,-35.635818,0.000000,0.000000,-0.023270,0.000000,0.000000,-0.036652,0.000000,0.000000,0.060488,350.888947,1173.421387,496.757385,323.832855,1278.943115,818.306946,675.218933,1273.620117,491.165558,447.527557,866.686401,605.548950,427.165680,966.570251,77.622894,332.579987,1144.219727,43.296551,608.037048,1060.435669,65.017479,422.352386,1002.819763,278.488220,347.918304,1088.961548,67.143684,350.757324,1169.679199,477.722229,751.972290,1195.160156,43.471680,456.686157,692.344971,144.364380,458.694336,907.353821,89.065025,427.165771,966.570313,77.622955,518.984802,938.642334,84.863228,457.089935,919.436951,156.020142,219.762558,1297.829956,819.743530,219.385757,1281.934814,1030.705200,427.679993,1258.825317,817.176025,180.675293,1090.505127,804.052612
