WALKING left 06
Date:,2019/07/18
Time:,15:37:36
Type:,
Description:,""
Notes:,""

EVENTS
Subject,Context,Name,Time (s),Description
Patient 1,Left,Foot Strike,1.570000,The instant the heel strikes the ground
Patient 1,Left,Foot Off,2.430000,The instant the toe leaves the ground

TRAJECTORIES
100.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,LTIB,,,LANK,,,LHEE,,,LTOE,,,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,LHipAngles,,,LKneeAngles,,,LAnkleAngles,,,LAbsAnkleAngle,,,LPelvisAngles,,,RPelvisAngles,,,LFootProgressAngles,,,LGroundReactionForce,,,LNormalisedGRF,,,LAnkleForce,,,LKneeForce,,,LHipForce,,,LGroundReactionMoment,,,LAnkleMoment,,,LKneeMoment,,,LHipMoment,,,LAnklePower,,,LKneePower,,,LHipPower,,,LFEO,,,LFEP,,,LFEL,,,LFEA,,,LFOO,,,LFOP,,,LFOL,,,LFOA,,,LTIO,,,LTIP,,,LTIL,,,LTIA,,,LTOO,,,LTOP,,,LTOL,,,LTOA,,,PELO,,,PELP,,,PELL,,,PELA
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
150,383.091339,1303.437988,916.301514,84.988327,1347.339844,923.713501,308.501953,1544.094360,938.251709,209.451355,1551.442261,948.834534,445.697083,1354.484131,643.210449,420.396454,1287.615356,495.708344,442.905762,1242.564453,352.732788,431.677673,1099.837646,85.632553,353.117310,1117.706787,45.128712,461.740387,965.988403,129.711960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.012297,-8.203857,-34.064560,-5.537438,3.680471,-7.837684,3.092364,-0.992039,3.425848,3.086832,0.000000,0.000000,6.099414,-0.519945,8.478803,6.099414,0.519945,-8.478803,-119.970589,-5.001410,-29.899027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.848358,1262.926880,499.671783,344.833252,1367.438843,825.467773,677.186829,1415.566650,475.167938,523.237793,973.927002,604.548401,481.998352,970.855469,141.322632,381.157532,1122.779175,53.713402,656.705078,1066.689819,106.416977,466.709229,1063.914673,320.295471,398.028717,1078.549683,93.035912,372.027130,1254.930664,482.035767,753.553223,1303.473999,14.814400,634.742554,760.106567,253.247406,515.611877,920.214233,170.525681,481.998260,970.855469,141.322540,573.847473,952.159058,158.890518,510.515442,951.234009,230.183304,240.127167,1382.222778,828.203003,242.046997,1359.744629,1038.556763,449.366333,1351.407959,823.000488,208.935303,1174.129517,806.251038
151,383.214752,1293.705566,914.367493,85.095261,1339.317139,921.940430,310.206848,1534.599731,936.803711,211.266357,1542.330688,947.512756,446.748138,1343.325317,642.015015,420.456543,1277.106079,494.494232,441.983002,1233.127197,351.267365,428.795654,1092.662109,83.005974,350.259735,1110.450928,42.127300,459.213196,958.555115,127.707886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.160505,-8.199819,-33.095833,-5.140425,3.577901,-8.243590,3.823361,-0.834367,2.564136,3.819527,0.000000,0.000000,6.231514,-0.495307,8.802069,6.231514,0.495307,-8.802069,-120.234138,-5.174006,-29.934687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.367859,1253.493286,498.208710,345.168213,1358.147217,823.688843,679.762146,1399.347900,475.265259,515.849609,961.433777,603.380371,478.904266,964.437012,139.031403,377.954346,1115.901855,50.755882,653.501648,1060.486084,104.168678,463.094513,1058.021362,317.684998,394.830566,1071.825684,90.248039,371.428925,1245.613403,480.513000,753.646362,1291.949341,13.741264,626.692810,748.715942,248.034332,512.554260,913.948730,168.456619,478.904266,964.437012,139.031418,570.753418,945.965088,156.835663,507.284363,945.143555,228.007813,240.547882,1373.516846,826.476929,242.376724,1350.553711,1036.779053,449.608429,1341.531006,821.166321,208.175812,1165.653442,804.061584
152,383.539551,1283.840454,912.657166,85.414612,1331.029419,920.373840,311.990204,1524.975830,935.518799,213.140579,1533.056396,946.327637,447.882019,1332.133301,641.007751,420.742676,1266.540405,493.428558,441.283600,1223.748535,349.903564,426.222565,1085.991211,80.499779,347.719116,1104.050415,39.488266,456.738678,951.559753,125.132790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.283493,-8.201415,-32.212101,-4.669674,3.486250,-8.583351,4.336433,-0.696817,1.811418,4.334261,0.000000,0.000000,6.345356,-0.471621,9.099856,6.345356,0.471621,-9.099856,-120.168343,-5.181026,-29.929657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.181152,1243.920288,496.907440,345.691284,1348.675293,822.113159,682.240051,1383.528320,475.436829,509.291321,949.186279,602.322693,476.029175,958.130127,136.234604,375.094574,1109.703979,48.128769,650.633301,1054.217407,101.511734,460.197327,1051.498535,314.999084,391.964508,1065.579712,87.569778,371.126495,1236.181152,479.143250,753.689697,1281.104736,12.919029,619.097900,737.993164,242.380463,509.674072,907.605469,165.603302,476.029205,958.130127,136.234619,567.875488,939.634583,154.029037,504.396729,938.728333,225.191498,241.152847,1364.584351,824.948181,242.894287,1341.203369,1035.204834,450.043030,1331.520020,819.541260,207.694641,1156.936401,802.134399
153,384.065826,1273.843506,911.170715,85.946480,1322.476563,919.013733,313.851746,1515.223022,934.396851,215.073807,1523.619629,945.279297,449.098358,1320.908813,640.188599,421.254120,1255.918823,492.512299,440.809784,1214.423828,348.645081,423.960602,1079.819458,78.117142,345.498413,1098.495605,37.215794,454.322357,944.992493,121.994041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.381119,-8.207251,-31.409567,-4.125663,3.404950,-8.851114,4.638447,-0.577248,1.156573,4.637500,0.000000,0.000000,6.440887,-0.449323,9.372135,6.440887,0.449323,-9.372135,-119.780655,-5.037888,-29.882792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.280457,1234.209351,495.769104,346.402649,1339.024170,820.740967,684.656128,1368.102783,475.683014,503.549957,937.141357,601.376099,473.371094,951.944214,132.949722,372.579956,1104.182373,45.830414,648.096497,1047.909668,98.500763,457.968201,1044.352295,312.249939,389.428131,1059.811035,85.002495,371.112000,1226.634521,477.928314,753.738037,1270.899048,12.363579,611.912048,727.895386,236.294159,506.968079,901.198181,161.989532,473.371033,951.944214,132.949738,565.209839,933.186707,150.506592,501.833710,932.000854,221.756256,241.941574,1355.425781,823.617310,243.600647,1331.694092,1033.835449,450.671082,1321.375122,818.125977,207.490906,1147.977051,800.470154
154,384.793945,1263.716309,909.908813,86.691147,1313.659058,917.860046,315.790802,1505.342163,933.438110,217.065369,1514.021118,944.367798,450.396515,1309.653687,639.557678,421.989227,1245.242676,491.748016,440.568207,1205.140747,347.502258,422.014679,1074.132202,75.866150,343.604645,1093.760864,35.319836,451.978394,938.828613,118.311165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.453394,-8.215784,-30.685232,-3.509347,3.332920,-9.033319,4.734550,-0.472464,0.582442,4.734305,0.000000,0.000000,6.518053,-0.428702,9.618833,6.518053,0.428702,-9.618833,-119.078217,-4.758443,-29.790827,,,,,,,-0.102323,0.028601,0.037603,0.235386,0.087472,0.608216,0.765775,0.242154,1.660734,,,,2.237687,-0.000000,-0.439145,23.479191,42.072315,-0.454147,-164.399307,120.637527,3.278732,0.000000,0.000000,-0.000441,0.000000,0.000000,-0.014717,0.000000,0.000000,0.006378,370.658020,1224.361206,494.797119,347.302643,1329.194214,819.572266,687.037964,1353.066040,476.004608,498.613525,925.263489,600.543396,470.923279,945.891052,129.191055,370.413757,1099.326904,43.866219,645.882690,1041.585205,95.177994,456.359375,1036.583374,309.434875,387.219788,1054.514038,82.551041,371.378113,1216.975708,476.872131,753.874390,1261.241455,12.108780,605.043945,718.353516,229.801331,504.426361,894.745972,157.632690,470.923218,945.891235,129.191071,562.746155,926.644043,146.295044,499.571716,924.976746,217.713959,242.913742,1346.043091,822.483704,244.496765,1322.028320,1032.670166,451.493469,1311.098633,816.920227,207.564606,1138.775757,799.068665
155,385.724609,1253.462158,908.872803,87.649109,1304.577759,916.912720,317.805878,1495.335571,932.642639,219.113937,1504.262817,943.593384,451.775177,1298.371582,639.114685,422.944641,1234.514282,491.140747,440.572510,1195.874756,346.495392,420.392548,1068.903564,73.760956,342.048676,1089.797852,33.815910,449.732086,933.025574,114.120918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.500660,-8.225200,-30.037205,-2.821746,3.268397,-9.103228,4.631112,-0.377246,0.060621,4.631109,0.000000,0.000000,6.576706,-0.409914,9.839596,6.576706,0.409914,-9.839596,-118.070717,-4.357726,-29.648806,,,,,,,-0.106600,0.027530,0.034418,0.225524,0.085162,0.618848,0.757972,0.244036,1.675364,,,,0.994427,-0.000000,-0.517241,21.663057,39.742149,-0.521982,-161.078613,116.500488,2.440042,0.000000,0.000000,-0.000155,0.000000,0.000000,-0.015797,0.000000,0.000000,0.004385,371.305389,1214.378418,493.997375,348.392120,1319.188965,818.608093,689.404358,1338.417847,476.401062,494.473602,913.527405,599.830444,468.674805,939.987610,124.976524,368.600800,1095.119385,42.245781,643.979675,1035.267578,91.584900,455.316010,1028.197144,306.541077,385.336395,1049.680054,80.223938,371.916229,1207.207153,475.981628,754.220459,1251.963379,12.216141,598.323486,709.260193,222.946823,502.032745,888.276855,152.553452,468.674744,939.987427,124.976578,560.467651,920.036804,141.422913,497.579834,917.679993,213.074936,244.069489,1336.438477,821.548523,245.582962,1312.208374,1031.710938,452.512085,1300.693604,815.926331,207.916809,1129.332642,797.931152
156,386.858795,1243.086792,908.064270,88.821075,1295.234497,916.171387,319.894440,1485.206787,932.010681,221.217163,1494.347778,942.956421,453.232452,1287.068726,638.858887,424.115204,1223.737427,490.698181,440.845062,1186.588013,345.656372,419.102814,1064.096069,71.821014,340.842499,1086.534302,32.721321,447.618225,927.526733,109.479980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.523844,-8.233421,-29.464725,-2.063579,3.209031,-9.018073,4.339602,-0.283693,-0.452089,4.339467,0.000000,0.000000,6.616763,-0.392988,10.033778,6.616763,0.392988,-10.033778,-116.774704,-3.855135,-29.450827,,,,,,,-0.113686,0.026349,0.029339,0.212808,0.081594,0.633245,0.748281,0.243029,1.695546,,,,-0.921706,-0.000000,-0.558682,19.379850,36.760754,-0.551971,-157.173462,110.617630,1.614382,0.000000,0.000000,-0.001125,0.000000,0.000000,-0.016017,0.000000,0.000000,0.001506,372.213348,1204.263062,493.379578,349.672272,1309.012695,817.849365,691.764160,1324.162964,476.871246,491.126770,901.917603,599.247803,466.609833,934.261230,120.335854,367.143982,1091.532349,40.979614,642.369141,1028.989136,87.772751,454.765930,1019.217041,303.549652,383.772247,1045.296753,78.032890,372.717377,1197.331055,475.267242,754.942383,1242.795288,12.773384,591.479431,700.461060,215.792938,499.765137,881.837341,146.787949,466.609863,934.261047,120.335861,558.351563,913.413330,135.933594,495.817169,910.155945,207.859238,245.409119,1326.615479,820.811646,246.860260,1302.238525,1030.957397,453.728302,1290.165894,815.144958,208.550217,1119.649902,797.058105
157,388.197693,1232.598877,907.485352,90.207794,1285.632568,915.635437,322.052551,1474.961792,931.542175,223.371552,1484.281128,942.457214,454.765778,1275.754517,638.788757,425.493652,1212.916870,490.430054,441.416504,1177.231323,345.026917,418.150848,1059.664673,70.068184,339.994324,1083.876831,32.047997,445.675812,922.271729,104.465103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.524538,-8.238085,-28.968796,-1.234315,3.151865,-8.719104,3.881320,-0.181210,-1.013653,3.880711,0.000000,0.000000,6.638039,-0.377801,10.200422,6.638039,0.377801,-10.200422,-115.217888,-3.277882,-29.190933,,,,,,,-0.124346,0.025143,0.021800,0.194392,0.077387,0.652024,0.732125,0.239346,1.721667,,,,-3.663162,0.000000,-0.537950,16.082945,33.454460,-0.520766,-150.814270,103.283203,0.840069,0.000000,0.000000,-0.003830,0.000000,0.000000,-0.014432,0.000000,0.000000,-0.002119,373.371643,1194.018311,492.956177,351.144135,1298.674316,817.297974,694.117615,1310.314941,477.411591,488.577881,890.428528,598.811279,464.707062,928.757324,115.319405,366.041260,1088.532837,40.073761,641.025391,1022.802002,83.815254,454.608856,1009.704468,300.442749,382.514954,1041.354736,75.990555,373.770996,1187.349854,474.742676,756.233704,1233.373169,13.881844,584.138672,691.771240,208.404816,497.595734,875.498840,140.401306,464.707184,928.757385,115.319412,556.368530,906.847046,129.900009,494.229614,902.481201,202.109100,246.933075,1316.580322,820.273682,248.328049,1292.125244,1030.410767,455.144623,1279.524658,814.579041,209.468384,1109.731567,796.449951
158,389.742279,1222.010376,907.138184,91.809799,1275.777222,915.303589,324.274780,1464.608887,931.236938,225.572281,1474.070190,942.096191,456.372070,1264.441284,638.901123,427.070404,1202.059692,490.347015,442.322083,1167.751343,344.653168,417.533875,1055.563354,68.522293,339.502808,1081.720581,31.793680,443.939178,917.211609,99.171082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.504871,-8.236467,-28.551310,-0.332196,3.093366,-8.137396,3.291184,-0.057341,-1.692125,3.289748,0.000000,0.000000,6.640438,-0.364064,10.338301,6.640438,0.364064,-10.338301,-113.442955,-2.663264,-28.863909,-0.002124,-0.006962,0.188788,-0.070970,-0.021652,1.924448,0.033516,0.057151,-0.058320,0.109143,0.103395,0.498300,0.645553,0.244884,1.574379,25.382652,21.192970,-3.078993,-9.961726,6.695499,0.855274,-12.553519,50.534557,1.264926,-92.965508,115.759666,0.486213,0.000000,0.000000,-0.006610,0.000000,0.000000,0.031089,0.000000,0.000000,-0.003727,374.768280,1183.647583,492.741241,352.808807,1288.184082,816.955078,696.456543,1296.892822,478.015900,486.835724,879.062073,598.539429,462.940094,923.542419,110.006340,365.283905,1086.085938,39.522736,639.916260,1016.780640,79.821396,454.707733,999.774292,297.212097,381.543457,1037.850952,74.108505,375.064880,1177.267822,474.422668,758.285278,1223.260498,15.633266,575.847595,683.003479,200.835297,495.492157,869.361206,133.500854,462.940063,923.542358,110.006325,554.484192,900.440613,123.439148,492.748077,894.771851,195.902771,248.641647,1306.342041,819.935425,249.985855,1281.878052,1030.071899,456.762756,1268.783081,814.231506,210.675812,1099.585083,796.107727
159,391.492889,1211.337036,907.024231,93.627045,1265.676270,915.173706,326.554108,1454.158936,931.094116,227.813187,1463.725098,941.873413,458.047668,1253.145020,639.190552,428.833313,1191.175293,490.458160,443.594757,1158.102417,344.576477,417.235596,1051.752808,67.196358,339.351257,1079.960815,31.934216,442.428009,912.323792,93.706848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.467506,-8.225619,-28.215160,0.645764,3.029309,-7.206415,2.618798,0.099932,-2.552845,2.616197,0.000000,0.000000,6.623940,-0.351412,10.445941,6.623940,0.351412,-10.445941,-111.508339,-2.057473,-28.466206,-0.008699,-0.064504,1.823941,-0.657536,-0.088672,18.592674,1.529537,0.317305,-0.635050,-0.429341,0.335824,-1.014099,0.059655,0.327117,0.069538,262.210632,202.836029,-16.269043,-53.308342,45.313843,2.089641,-204.791031,193.178482,4.171438,311.885529,259.403687,-9.722071,0.000000,0.000000,-0.033951,0.000000,0.000000,0.390142,0.000000,0.000000,0.032829,376.389923,1173.156128,492.747742,354.667267,1277.556763,816.821411,698.768311,1283.922485,478.673279,485.913452,867.826050,598.451477,461.278870,918.699707,104.508568,364.854675,1084.156738,39.305519,639.005310,1011.014404,75.935913,454.894012,989.601563,293.868652,380.828400,1034.790039,72.395500,376.584381,1167.090820,474.321411,761.226868,1212.024170,18.072536,566.152222,674.026306,193.103973,493.420227,863.547180,126.242935,461.278809,918.699524,104.508568,552.662415,894.318726,116.718689,491.291992,887.181152,189.362991,250.534378,1295.912109,819.796448,251.831909,1271.508667,1029.940186,458.584045,1257.957886,814.104309,212.177612,1089.220215,796.030701
