WALKING left 09
Date:,2019/07/18
Time:,15:38:22
Type:,
Description:,""
Notes:,""

EVENTS
Subject,Context,Name,Time (s),Description
Patient 1,Left,Foot Strike,1.170000,The instant the heel strikes the ground
Patient 1,Left,Foot Off,1.930000,The instant the toe leaves the ground

TRAJECTORIES
100.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,LTIB,,,LANK,,,LHEE,,,LTOE,,,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,LHipAngles,,,LKneeAngles,,,LAnkleAngles,,,LAbsAnkleAngle,,,LPelvisAngles,,,RPelvisAngles,,,LFootProgressAngles,,,LGroundReactionForce,,,LNormalisedGRF,,,LAnkleForce,,,LKneeForce,,,LHipForce,,,LGroundReactionMoment,,,LAnkleMoment,,,LKneeMoment,,,LHipMoment,,,LAnklePower,,,LKneePower,,,LHipPower,,,LFEO,,,LFEP,,,LFEL,,,LFEA,,,LFOO,,,LFOP,,,LFOL,,,LFOA,,,LTIO,,,LTIP,,,LTIL,,,LTIA,,,LTOO,,,LTOP,,,LTOL,,,LTOA,,,PELO,,,PELP,,,PELL,,,PELA
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
108,417.294525,1342.102783,922.862366,119.750832,1379.481567,927.602966,338.154510,1580.858521,947.799255,238.819839,1585.531616,957.846130,485.491547,1386.522461,653.491577,463.001373,1318.349976,506.422577,480.492279,1285.598022,360.474304,456.438263,1171.847046,83.060059,377.848785,1194.027100,43.254356,485.288452,1036.545776,117.924248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.222427,-8.652466,-30.337576,1.832633,3.921874,-6.822567,5.512609,-0.454681,0.484989,5.512411,0.000000,0.000000,7.073400,-0.019577,7.216972,7.073400,0.019577,-7.216972,-115.914978,-4.147076,-29.901045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.451874,1295.592407,509.084473,379.445313,1406.756470,832.687317,725.542725,1436.546265,492.598358,550.474915,1002.436768,623.867310,505.740509,1040.641724,129.607803,404.522614,1198.958130,52.682274,681.295654,1137.860352,98.694611,493.011597,1122.563232,314.954865,421.614716,1152.060059,89.062241,412.852234,1289.320801,490.730469,786.672974,1359.492065,26.141056,638.202637,807.987183,211.365967,539.479980,987.869446,155.249603,505.740692,1040.641602,129.607773,597.998352,1020.275635,144.945251,535.236938,1015.176575,217.031937,274.428406,1419.312378,834.481812,274.500702,1393.260742,1044.431641,484.312256,1392.945801,831.137878,247.850723,1211.024780,808.645569
109,416.734711,1331.102661,920.552307,119.259628,1371.262939,925.826355,339.920593,1570.280884,945.546814,240.769821,1575.718140,955.675232,485.621002,1374.529663,651.821655,462.079681,1307.108765,504.838440,480.110809,1272.933838,359.670258,457.174652,1156.271973,82.625282,378.980194,1177.519653,41.519775,486.546844,1021.129089,121.022148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.115162,-8.742874,-29.753489,0.985618,3.845609,-7.187415,6.281692,-0.314429,-0.283650,6.281614,0.000000,0.000000,7.053163,-0.058330,7.753663,7.053163,0.058330,-7.753663,-117.571365,-4.915801,-29.814209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.112854,1285.276978,507.286957,379.169434,1396.090820,830.425171,726.190430,1420.241455,492.150177,543.113403,989.941040,621.615295,506.170441,1026.790283,132.493103,405.219330,1182.952759,50.952766,681.691528,1124.000977,101.362625,491.074280,1112.755615,315.819977,422.082275,1136.942505,88.553345,411.591766,1278.801025,489.006104,790.307190,1339.766235,26.350239,633.970581,791.493530,216.477783,539.820984,974.735718,159.673294,506.170593,1026.789917,132.493149,598.328003,1007.139282,149.296402,534.788940,1003.390869,220.782257,274.276093,1409.614258,832.406372,274.491425,1383.636719,1042.365234,483.901733,1381.313965,828.689880,245.733627,1201.571289,806.695129
110,416.459839,1319.969482,918.430298,119.013084,1362.659546,924.173096,341.729370,1559.563599,943.439270,242.736588,1565.686157,953.634583,485.908630,1362.445313,650.309448,461.469971,1295.697632,503.373077,479.887146,1260.483643,358.822601,457.745270,1141.974487,81.950020,379.908691,1162.735840,39.902798,487.321198,1006.877319,122.917336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.016033,-8.826875,-29.226194,0.381023,3.741462,-7.431627,6.852500,-0.189966,-0.965678,6.851523,0.000000,0.000000,7.025858,-0.092064,8.239467,7.025858,0.092064,-8.239467,-118.745132,-5.453678,-29.661791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.141022,1274.710205,505.629425,379.128601,1385.249146,828.335327,726.919495,1404.237061,491.704407,536.669067,977.517273,619.588684,506.261871,1013.782715,134.149811,405.779755,1168.476929,49.298843,681.900146,1110.763794,102.964661,489.493164,1102.614014,315.958649,422.390198,1123.094727,87.763969,410.675385,1268.095825,487.399689,793.654236,1321.354492,26.711864,629.506226,775.907471,219.806396,539.755859,962.217957,162.433456,506.261841,1013.782715,134.149765,598.302002,994.544983,152.038406,534.166260,991.828430,223.036407,274.355011,1399.647461,830.479980,274.694946,1373.770020,1040.451172,483.730957,1369.597534,826.437561,244.036285,1191.837524,804.917969
111,416.469910,1308.703979,916.497009,119.011765,1353.671387,922.643677,343.580750,1548.707153,941.476990,244.720047,1555.435913,951.724487,486.354187,1350.270264,648.954956,461.171387,1284.117676,502.026947,479.822113,1248.244751,357.933228,458.153259,1128.949097,81.038292,380.638062,1149.668091,38.408390,487.615906,993.782166,123.613235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.924623,-8.903445,-28.752340,0.015533,3.622833,-7.559805,7.236323,-0.080660,-1.564428,7.233612,0.000000,0.000000,6.991162,-0.120907,8.674332,6.991162,0.120907,-8.674332,-119.452644,-5.778859,-29.454710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.529816,1263.893066,504.111176,379.325104,1374.231445,826.417847,727.760193,1388.524414,491.267578,531.125916,965.127319,617.785828,506.044495,1001.586060,134.639435,406.200806,1155.536011,47.706543,681.945068,1098.136841,103.597473,488.242737,1092.162109,315.486755,422.541809,1110.511108,86.703583,410.097290,1257.204712,485.909546,796.671509,1304.221680,27.184834,624.807495,761.231201,221.356461,539.325745,950.269592,163.617096,506.044495,1001.586243,134.639465,597.959229,982.453247,153.269806,533.391785,980.461609,223.899536,274.665314,1389.413818,828.702820,275.111725,1363.663574,1038.689331,483.804901,1357.797729,824.381165,242.758316,1181.820557,803.313904
112,416.764984,1297.307983,914.754333,119.257202,1344.298584,921.239807,345.474579,1537.712402,939.660706,246.719986,1544.968750,949.945557,486.956848,1338.006958,647.758362,461.181335,1272.372070,500.801392,479.918365,1236.209351,357.007904,458.407227,1117.180786,79.901268,381.178619,1138.294189,37.049461,487.444214,981.821655,123.120819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.840208,-8.971244,-28.329153,-0.115875,3.499924,-7.571212,7.438769,0.014724,-2.086640,7.433809,0.000000,0.000000,6.948574,-0.145015,9.058100,6.948574,0.145015,-9.058100,-119.706291,-5.906634,-29.198709,,,,,,,-0.080773,0.028765,-0.098739,-0.090489,0.102900,0.548712,0.551076,0.280952,1.529901,,,,10.772146,-0.000000,-1.297738,-144.171097,39.405602,-1.334852,78.221619,92.584976,-10.333232,0.000000,0.000000,-0.003197,0.000000,0.000000,-0.002089,0.000000,0.000000,0.028320,409.271820,1252.829834,502.733276,379.762054,1363.039673,824.674927,728.735962,1373.099487,490.844208,526.469543,952.742432,616.204346,505.539948,990.173950,134.011093,406.487122,1144.123413,46.177521,681.842224,1086.106689,103.334335,487.300293,1081.405029,314.485016,422.544220,1099.181030,85.387466,409.850586,1246.130005,484.536011,799.353516,1288.302002,27.744621,619.846802,747.451111,221.153595,538.557678,938.857239,163.288986,505.540100,990.173767,134.011093,597.325134,970.834778,153.063400,532.477783,969.267639,223.446960,275.207489,1378.913818,827.076538,275.742950,1353.319702,1037.082031,484.128479,1345.915283,822.522217,241.900482,1171.516479,801.885193
113,417.344910,1285.785278,913.205994,119.752243,1334.541504,919.964722,347.410309,1526.581543,937.992004,248.735886,1534.286865,948.299255,487.714752,1325.660767,646.719727,461.494598,1260.467407,499.699188,480.181335,1224.361938,356.058990,458.523987,1106.640503,78.561043,381.550568,1128.570068,35.849266,486.834625,970.955139,121.465286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.761761,-9.028387,-27.954859,-0.020330,3.379556,-7.457207,7.459986,0.098529,-2.545170,7.452586,0.000000,0.000000,6.897430,-0.164530,9.390384,6.897430,0.164530,-9.390384,-119.515030,-5.850304,-28.895775,,,,,,,-0.083636,0.028346,-0.093016,-0.081666,0.100587,0.559193,0.553113,0.284612,1.549065,,,,10.002037,0.000000,-1.232806,-137.268951,37.248745,-1.262994,70.119942,90.670403,-9.562587,0.000000,0.000000,0.000339,0.000000,0.000000,0.051853,0.000000,0.000000,0.024127,409.357819,1241.526855,501.498688,380.441895,1351.675781,823.109253,729.861267,1357.963379,490.436523,522.687866,940.342468,614.841309,504.766998,979.523804,132.305176,406.652802,1134.219360,44.729027,681.605896,1074.656738,102.231110,486.647522,1070.329712,313.005676,422.410583,1089.084961,83.840034,409.927155,1234.877808,483.282471,801.736694,1273.483398,28.391010,614.560364,734.532715,219.253479,537.471802,927.958679,161.497238,504.767029,979.523865,132.305237,596.418091,959.669617,151.472519,531.432007,958.227295,221.730759,275.982544,1368.149902,825.604736,276.590149,1342.743286,1035.632813,484.706726,1333.953491,820.864258,241.464447,1160.923584,800.636902
114,418.209198,1274.142456,911.857910,120.501129,1324.401855,918.823730,349.387115,1515.318604,936.473572,250.766891,1523.394531,946.787842,488.624725,1313.240845,645.839111,462.102356,1248.415405,498.725067,480.620422,1212.678101,355.108185,458.529846,1097.281616,77.053032,381.785522,1120.422241,34.840645,485.836060,961.121704,118.694016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.687742,-9.072297,-27.628546,0.292310,3.265063,-7.199135,7.297038,0.174887,-2.962667,7.287232,0.000000,0.000000,6.836809,-0.179622,9.670606,6.836809,0.179622,-9.670606,-118.887764,-5.623598,-28.545656,,,,,,,-0.087590,0.028701,-0.087288,-0.072390,0.099345,0.573859,0.555148,0.288483,1.576077,,,,8.858503,-0.000000,-0.952961,-128.875626,35.292587,-0.976591,60.229092,89.603432,-8.605315,0.000000,0.000000,0.003291,0.000000,0.000000,0.096595,0.000000,0.000000,0.019962,409.775574,1229.995117,500.413483,381.368042,1340.143799,821.725830,731.141052,1343.123779,490.044220,519.769287,927.918091,613.692810,503.746521,969.619019,129.562393,406.720367,1125.786011,43.397110,681.248901,1063.775146,100.336075,486.268463,1058.911499,311.078308,422.161072,1080.190308,82.096893,410.316193,1223.457031,482.156494,803.903076,1259.587891,29.154755,608.832031,722.413208,215.748627,536.088379,917.563354,158.284180,503.746338,969.619019,129.562424,595.255859,948.948730,148.542084,530.262329,947.327515,218.789490,276.991425,1357.124268,824.291504,277.654694,1331.939941,1034.346069,485.544006,1321.916138,819.411743,241.452972,1150.040405,799.575562
115,419.356659,1262.389893,910.718079,121.509155,1313.883057,917.824402,351.403503,1503.929688,935.109253,252.811661,1512.298706,945.414612,489.681732,1300.760742,645.116272,462.991913,1236.233521,497.885986,481.248932,1201.125488,354.187775,458.459991,1089.039917,75.426277,381.925537,1113.744385,34.061707,484.519989,952.243164,114.884430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.616247,-9.099780,-27.350121,0.809614,3.156323,-6.768268,6.948482,0.249968,-3.372871,6.936386,0.000000,0.000000,6.765588,-0.190548,9.897903,6.765588,0.190548,-9.897903,-117.838562,-5.244075,-28.147148,,,,,,,-0.094301,0.030021,-0.081666,-0.063481,0.099082,0.594299,0.555814,0.292262,1.612542,,,,6.943501,-0.000000,-0.402359,-118.845573,33.591423,-0.418762,48.742252,89.408485,-7.406900,0.000000,0.000000,0.004981,0.000000,0.000000,0.130102,0.000000,0.000000,0.015631,410.510162,1218.252075,499.486542,382.543091,1328.451904,820.531372,732.570679,1328.599121,489.665070,517.705200,915.472534,612.754761,502.503754,960.454895,125.835060,406.720459,1118.766357,42.230705,680.785767,1053.464600,97.703346,486.140564,1047.134399,308.716400,421.822815,1072.453247,80.205536,411.004395,1211.882080,481.168732,805.972839,1246.368530,30.093929,602.490112,711.008911,210.766907,534.431458,907.684387,153.703247,502.503723,960.454895,125.835068,593.858826,938.687622,144.326035,528.976990,936.577576,214.663681,278.235535,1345.843994,823.144287,278.939087,1320.920776,1033.229980,486.645416,1309.813110,818.171875,241.869965,1138.869995,798.711975
116,420.784912,1250.541748,909.796204,122.781998,1302.991455,916.976624,353.457275,1492.423950,933.904053,254.868332,1501.009399,944.184021,490.878845,1288.239624,644.550781,464.146667,1223.946411,497.191132,482.083618,1189.667847,353.340027,458.355164,1081.834473,73.741043,382.019196,1108.398438,33.548470,482.977692,944.231750,110.150589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.544867,-9.107237,-27.120739,1.516420,3.050220,-6.127956,6.420712,0.331861,-3.819892,6.406387,0.000000,0.000000,6.682503,-0.197687,10.071341,6.682503,0.197687,-10.071341,-116.393921,-4.737024,-27.699574,,,,,,,-0.105704,0.032438,-0.076715,-0.057171,0.099762,0.621678,0.552019,0.295510,1.659069,,,,3.868822,0.000000,0.446271,-107.468964,32.313351,0.436929,36.794815,90.122734,-5.977858,0.000000,0.000000,0.004417,0.000000,0.000000,0.151017,0.000000,0.000000,0.011021,411.542847,1206.319824,498.729767,383.968719,1316.609619,819.534607,734.135376,1314.416870,489.294769,516.488770,903.019470,612.022095,501.072113,952.043213,121.202812,406.690308,1113.077515,41.286064,680.232117,1043.751709,94.409500,486.226013,1035.014038,305.924438,421.427856,1065.818726,78.224358,411.975250,1200.173462,480.334290,808.087036,1233.520508,31.280525,595.319336,700.226318,204.465500,532.532837,898.365112,147.841736,501.072266,952.043213,121.202820,592.252869,928.934631,138.910690,527.584106,926.022034,209.415604,279.714783,1334.317505,822.171692,280.444733,1309.698975,1032.293091,488.013489,1297.656128,817.152710,242.718689,1127.417847,798.059143
117,422.489929,1238.616821,909.103027,124.324852,1291.737305,916.292053,355.545258,1480.813477,932.864136,256.934357,1489.540405,943.101501,492.207275,1275.702026,644.141907,465.546356,1211.585815,496.650879,483.142822,1178.270508,352.613495,458.256714,1075.572754,72.063820,382.115204,1104.218384,33.326073,481.312744,937.001282,104.646965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.470863,-9.090791,-26.942078,2.395262,2.941038,-5.238492,5.734951,0.429933,-4.354592,5.718340,0.000000,0.000000,6.586293,-0.201516,10.189908,6.586293,0.201516,-10.189908,-114.599648,-4.138611,-27.203840,,,,,,,-0.122780,0.035513,-0.072146,-0.053595,0.100458,0.655735,0.543674,0.297061,1.714237,,,,-0.543386,0.000000,1.536820,-94.548157,31.462788,1.529238,24.157066,91.406860,-4.396648,0.000000,0.000000,0.000897,0.000000,0.000000,0.157929,0.000000,0.000000,0.005869,412.852203,1194.227905,498.156738,385.645172,1304.631592,818.744507,735.811462,1300.613403,488.928101,516.113159,890.585205,611.488281,499.491425,944.419617,115.788498,406.668518,1108.613647,40.615822,679.604614,1034.697632,90.572968,486.458771,1022.630249,302.710815,421.009979,1060.221436,76.219223,413.209564,1188.356567,479.669800,810.382202,1220.702026,32.779133,587.082886,689.979370,197.018280,530.432373,889.688110,140.846024,499.491302,944.419434,115.788452,590.470093,919.780823,132.440781,526.088196,915.758362,203.153473,281.428619,1322.557983,821.383484,282.172760,1298.292358,1031.545776,489.650269,1285.461670,816.363037,244.001526,1115.694214,797.631226
